Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,100.5,100.58,100.51
293.97,100.5,100.66,100.52
433.97,100.5,100.74,100.53
583.97,100.5,100.82,100.55
723.97,100.5,100.9,100.57
873.97,100.5,101.02,100.6
1014,100.5,101.13,100.62
1154,100.51,101.27,100.66
1304,100.51,101.43,100.7
1444,100.52,101.59,100.74
1594,100.53,101.83,100.79
1734,100.54,102.06,100.85
1874,100.55,102.33,100.92
2024,100.56,102.66,101
2164,100.58,102.97,101.09
2314,100.6,103.38,101.2
2454,100.63,103.77,101.31
2594,100.66,104.21,101.43
2744,100.69,104.75,101.58
2884,100.73,105.25,101.73
3034,100.78,105.99,101.92
3174,100.83,106.68,102.12
3314,100.88,107.49,102.34
3464,100.95,108.48,102.61
3604,101.03,109.41,102.89
3754,101.12,110.68,103.23
3894,101.21,111.87,103.58
4034,101.32,113.24,103.97
4184,101.45,114.89,104.45
4324,101.59,116.44,104.92
4474,101.75,118.57,105.51
4614,101.92,120.57,106.12
4754,102.12,122.85,106.78
4904,102.35,125.57,107.58
5044,102.59,128.12,108.38
5194,102.89,131.45,109.35
5334,103.19,134.57,110.34
5474,103.53,138.02,111.4
5624,103.93,142.06,112.66
5764,104.35,145.86,113.91
5914,104.84,150.58,115.35
6054,105.35,155.01,116.79
6194,105.9,159.75,118.34
6344,106.56,165.16,120.14
6484,107.22,170.21,121.92
6634,108,176.07,123.94
6774,108.8,181.54,125.94
6914,109.66,187.15,128.02
7064,110.65,193.32,130.31
7204,111.65,199.07,132.51
7354,112.8,205.23,134.97
7494,113.94,210.98,137.34
7634,115.16,216.59,139.77
7784,116.54,222.47,142.42
7924,117.92,227.94,144.96
8074,119.47,233.38,147.69
8214,120.98,238.47,150.19
8354,122.55,243.22,152.7
8504,124.31,247.99,155.39
8644,126.01,252.43,157.92
8794,127.9,256.51,160.6
8934,129.72,260.31,163.1
9074,131.6,263.78,165.58
9224,133.67,267.15,168.2
9364,135.64,270.28,170.63
9514,137.81,273.05,173.18
9654,139.87,275.61,175.53
9794,141.96,277.91,177.85
9944,144.24,280.09,180.28
10084,146.3,282.14,182.39
10234,148.51,283.83,184.61
10374,150.59,285.39,186.64
10514,152.68,286.78,188.65
10664,154.92,288.08,190.75
10804,157.02,289.3,192.68
10954,159.26,290.32,194.71
11094,161.34,291.26,196.56
11234,163.43,292.09,198.38
11384,165.65,292.86,200.29
11524,167.71,293.57,202.04
11674,169.91,294.13,203.88
11814,171.94,294.65,205.55
11954,173.96,295.12,207.2
12104,176.11,295.55,208.93
12244,178.09,295.95,210.51
12394,180.19,296.31,212.17
12534,182.13,296.63,213.7
12674,184.05,296.92,215.19
12824,186.07,297.19,216.77
12964,187.94,297.43,218.21
13114,189.89,297.63,219.71
13254,191.58,297.81,221.03
13394,193.24,297.96,222.32
13544,195.01,298.1,223.67
13684,196.63,298.23,224.91
13834,198.35,298.33,226.21
13974,199.94,298.42,227.4
14114,201.51,298.51,228.57
14264,203.16,298.61,229.81
14400,204.64,298.69,230.91
