Time (s),T_outer (C),T_inner (C),T_ave (C)
153.93,150.7,150.82,150.71
293.93,150.7,150.94,150.73
433.93,150.7,151.05,150.75
583.93,150.7,151.18,150.78
723.93,150.7,151.29,150.8
873.93,150.7,151.5,150.84
1013.9,150.71,151.69,150.88
1153.9,150.71,151.9,150.93
1303.9,150.72,152.15,150.99
1443.9,150.72,152.38,151.05
1593.9,150.73,152.75,151.13
1733.9,150.75,153.1,151.22
1873.9,150.76,153.48,151.32
2023.9,150.78,153.93,151.44
2163.9,150.8,154.36,151.55
2313.9,150.83,155.02,151.71
2453.9,150.87,155.63,151.87
2593.9,150.9,156.33,152.05
2743.9,150.95,157.15,152.27
2883.9,151,157.93,152.49
3033.9,151.06,159.03,152.77
3173.9,151.13,160.07,153.06
3313.9,151.2,161.27,153.38
3463.9,151.29,162.71,153.77
3603.9,151.39,164.07,154.17
3753.9,151.51,166.03,154.67
3893.9,151.64,167.88,155.19
4033.9,151.78,169.96,155.76
4183.9,151.95,172.43,156.45
4323.9,152.13,174.76,157.14
4473.9,152.35,177.92,157.99
4613.9,152.58,180.88,158.86
4753.9,152.84,184.27,159.81
4903.9,153.15,188.35,160.97
5043.9,153.47,192.18,162.13
5193.9,153.86,197.16,163.5
5333.9,154.26,201.82,164.88
5473.9,154.7,206.98,166.38
5623.9,155.23,213.04,168.16
5763.9,155.77,218.73,169.94
5913.9,156.42,225.84,172.04
6053.9,157.08,232.5,174.15
6193.9,157.81,239.62,176.4
6343.9,158.66,247.72,178.91
6483.9,159.53,255.29,181.4
6633.9,160.55,264.11,184.27
6773.9,161.59,272.36,187.09
6913.9,162.71,280.78,190.05
7063.9,164.01,290.02,193.29
7203.9,165.31,298.62,196.42
7353.9,166.81,307.84,199.9
7493.9,168.3,316.45,203.26
7633.9,169.9,324.88,206.71
7783.9,171.71,333.78,210.4
7923.9,173.49,342.02,213.89
8073.9,175.5,350.15,217.66
8213.9,177.48,357.73,221.24
8353.9,179.55,364.86,224.84
8503.9,181.88,372.04,228.7
8643.9,184.11,378.76,232.2
8793.9,186.58,384.88,235.89
8933.9,188.96,390.58,239.34
9073.9,191.42,395.77,242.78
9223.9,194.13,400.8,246.4
9363.9,196.72,405.48,249.77
9513.9,199.57,409.62,253.31
9653.9,202.29,413.47,256.57
9793.9,205.06,416.89,259.8
9943.9,208.04,420.17,263.13
10084,210.79,423.16,266.09
10234,213.76,425.72,269.2
10374,216.56,428.11,272.06
10514,219.38,430.22,274.88
10664,222.42,432.19,277.83
10804,225.26,434.02,280.55
10954,228.32,435.51,283.4
11094,231.18,436.89,286
11234,234.03,438.11,288.57
11384,237.09,439.26,291.25
11524,239.93,440.32,293.73
11674,242.97,441.18,296.31
11814,245.79,441.98,298.69
11954,248.6,442.7,301.02
12104,251.59,443.39,303.48
12244,254.25,444.05,305.71
12394,257.04,444.54,308.01
12534,259.62,444.99,310.11
12674,262.18,445.4,312.16
12824,264.9,445.8,314.33
12964,267.42,446.17,316.31
13114,270.09,446.44,318.4
13254,272.56,446.69,320.31
13394,275.01,446.98,322.2
13544,277.61,447.34,324.19
13684,280,447.66,326.03
13834,282.54,447.81,327.96
13974,284.87,447.94,329.73
14114,287.19,448.06,331.47
14264,289.63,448.16,333.3
14400,291.83,448.26,334.94
