Time (s),T_outer (C),T_inner (C),T_ave (C)
161,252.64,253,252.95
328.61,253,257,253.4
448.61,253,257.3,253.58
628.61,253,259.45,253.99
748.61,253.01,260.89,254.29
868.61,253.02,264.06,254.78
1048.6,253.05,265,255.28
1168.6,253.08,267.82,255.79
1348.6,253.16,274.19,256.95
1468.6,253.22,275.6,257.59
1624.1,253.33,273.86,257.95
1744.1,253.44,275.52,258.41
1924.1,253.64,278.05,259.19
2044.1,253.8,279.55,259.73
2164.1,253.97,280.52,260.23
2344.1,254.27,285.46,261.32
2464.1,254.49,288.37,262.13
2644.1,254.86,289.54,263.06
2764.1,255.12,292.23,263.83
2884.1,255.4,295.44,264.71
3064.1,255.87,295.34,265.65
3184.1,256.2,295,266.13
3364.1,256.74,299.06,267.23
3484.1,257.12,301.65,268.06
3604.1,257.51,301.85,268.71
3784.1,258.14,305.73,269.96
3904.1,258.57,305.92,270.62
4084.1,259.25,307.56,271.65
4204.1,259.72,309.62,272.43
4324.1,260.2,312.82,273.36
4504.1,260.95,313.5,274.47
4624.1,261.47,315.29,275.27
4804.1,262.27,318.36,276.6
4924.1,262.82,320.54,277.49
5044.1,263.38,326.75,278.81
5224.1,264.26,325.03,279.93
5344.1,264.85,330.11,281.13
5524.1,265.78,332.54,282.66
5644.1,266.42,335.31,283.79
5764.1,267.08,336.25,284.79
5944.1,268.09,337.99,286.25
6064.1,268.79,338,287.07
6244.1,269.87,343.32,288.79
6364.1,270.59,343.77,289.71
6484.1,271.34,345.5,290.69
6664.1,272.47,348.63,292.31
6784.1,273.25,347.34,293.07
6964.1,274.43,354.18,294.94
7084.1,275.23,355.16,296.02
7204.1,276.04,353.85,296.83
7384.1,277.28,359.32,298.63
7504.1,278.12,359.04,299.57
7684.1,279.4,361.39,301.15
7804.1,280.27,362.12,302.09
7924.1,281.15,367.53,303.47
8104.1,282.48,364.74,304.7
8224.1,283.38,367.2,305.76
8404.1,284.74,370.97,307.5
8524.1,285.66,373.11,308.68
8644.1,286.59,374.02,309.76
8824.1,287.99,375.86,311.37
8944.1,288.93,378.57,312.57
9124.1,290.36,384.1,314.65
9244.1,291.32,385.92,315.93
9364.1,292.26,385.23,316.93
9544.1,293.7,386.88,318.47
9664.1,294.66,390.96,319.82
9844.1,296.13,391.1,321.37
9964.1,297.12,394.3,322.66
10084,298.12,394.49,323.75
10264,299.63,398.22,325.6
10384,300.64,400.63,326.89
10564,302.18,402.86,328.74
10684,303.22,403.74,329.9
10804,304.26,404.68,331.03
10984,305.84,408.42,332.94
11104,306.9,410.51,334.24
11284,308.51,410.11,335.84
11404,309.59,411.16,336.94
11524,310.68,412.9,338.12
11704,312.32,417.61,340.14
11824,313.42,420.14,341.51
12004,315.08,422.9,343.54
12124,316.2,423.34,344.73
12244,317.32,425.05,345.99
12424,319.01,428.55,348.01
12544,320.15,430.36,349.34
12724,321.81,433.81,351.36
12844,322.92,435.15,352.65
12964,324.04,435.31,353.8
13144,325.74,438.77,355.76
13264,326.87,440.48,357.06
13444,328.59,444.06,359.08
13564,329.74,447.47,360.59
13684,330.9,448.31,361.93
13864,332.65,447.84,363.61
13984,333.83,451.84,365.07
14164,335.6,456.18,367.32
14284,336.8,457.16,368.68
14400,337.96,455.68,369.74
