Time (s),T_outer (C),T_inner (C),T_ave (C)
161,297,298.77,297.18
341,297,299.31,297.31
461,297,300.81,297.51
581,297,302.3,297.76
761,297.01,303.63,298.1
881,297.02,305.15,298.4
1061,297.05,308.47,298.98
1181,297.07,311.49,299.54
1301,297.1,311.46,299.88
1481,297.18,313.58,300.46
1601,297.24,317.09,301.09
1781,297.36,319.6,301.89
1901,297.45,323,302.62
2021,297.57,324.43,303.25
2191.3,297.76,323.65,303.77
2311.3,297.92,327.95,304.53
2491.3,298.19,326.8,305.09
2611.3,298.4,330.91,305.85
2791.3,298.74,331.67,306.69
2911.3,298.98,332.38,307.19
3031.3,299.25,335.46,307.91
3211.3,299.67,338.71,309.02
3331.3,299.98,340.25,309.72
3511.3,300.46,342.92,310.79
3631.3,300.8,344.64,311.52
3751.3,301.15,344.8,312.11
3931.3,301.72,349.28,313.37
4051.3,302.11,349.71,314.03
4231.3,302.73,351.51,315.15
4336,303.11,349.73,315.48
4516,303.78,356.65,316.9
4636,304.24,358.65,317.79
4756,304.72,359.44,318.56
4936,305.46,361.61,319.79
5056,305.98,360.74,320.37
5236,306.77,365.79,321.79
5356,307.32,366.44,322.57
5476,307.87,369.47,323.53
5656,308.73,369.9,324.68
5776,309.32,371.3,325.49
5956,310.23,371.7,326.59
6076,310.85,371.51,327.21
6196,311.48,373.86,328.03
6376,312.44,379.01,329.59
6496,313.09,380.25,330.52
6676,314.08,380.27,331.64
6796,314.75,382.97,332.59
6916,315.43,386.9,333.71
7096,316.44,388.62,335.17
7216,317.13,386.02,335.73
7396,318.18,389.44,337.03
7516,318.89,391.42,337.96
7636,319.6,392.31,338.83
7816,320.7,397.76,340.57
7936,321.43,395.3,341.23
8116,322.55,399.6,342.73
8236,323.31,401.59,343.76
8356,324.07,402.29,344.69
8536,325.24,403.2,345.98
8656,326.02,406.54,347.07
8836,327.21,411.34,348.93
8956,328.02,411.37,349.88
9076,328.83,414.36,351.03
9256,330.07,414.9,352.45
9376,330.9,418.81,353.71
9556,332.18,419.04,355.13
9676,333.04,422.71,356.39
9796,333.91,422.64,357.39
9976,335.24,421.79,358.67
10096,336.13,423.22,359.61
10276,337.48,428.7,361.53
10396,338.37,427.4,362.34
10516,339.26,432.75,363.65
10696,340.61,433.4,365.24
10816,341.52,432.8,366.11
10996,342.89,436.42,367.71
11116,343.82,440.48,369.04
11236,344.74,442.05,370.23
11416,346.15,443.04,371.88
11536,347.09,441.25,372.68
11716,348.52,445.56,374.37
11836,349.48,448.1,375.57
11956,350.45,451.08,376.86
12136,351.91,450.24,378.29
12256,352.89,455.98,379.75
12436,354.38,457,381.55
12556,355.38,455.83,382.48
12676,356.38,456.66,383.48
12856,357.9,462.63,385.53
12976,358.92,461.48,386.52
13156,360.47,464.94,388.3
13276,361.51,466.74,389.52
13396,362.55,466.8,390.59
13576,364.12,470.6,392.5
13696,365.18,469.25,393.43
13876,366.74,476.04,395.59
13996,367.77,476.16,396.74
14116,368.8,476.9,397.86
14296,370.36,478.65,399.58
14400,371.27,478.57,400.47
