Time (s),T_outer (C),T_inner (C),T_ave (C)
161,260,265.8,260.59
335.27,260,263.65,260.62
453.85,260,267.6,261.05
633.85,260.02,270.28,261.69
753.85,260.03,270.57,261.97
873.85,260.06,271.37,262.26
1053.9,260.11,274.7,262.95
1173.9,260.16,275.13,263.28
1353.9,260.27,276.93,263.87
1473.9,260.36,278.68,264.3
1593.9,260.46,283.51,265.08
1772.5,260.63,282.87,265.64
1891.1,260.77,286.38,266.33
2071.1,261.01,288.31,267.19
2191.1,261.19,288.46,267.67
2311.1,261.38,284.61,267.7
2491.1,261.71,286.81,268.22
2611.1,261.95,288.98,268.72
2791.1,262.33,294.82,270
2899.3,262.57,292.87,270.28
3079.3,262.98,298.81,271.41
3199.3,263.28,302.9,272.4
3319.3,263.58,302.76,273.05
3499.3,264.07,302.05,273.71
3619.3,264.42,306.86,274.65
3756.9,264.83,302.41,274.94
3936.9,265.4,308.04,276.03
4056.9,265.8,311.63,276.98
4218.6,266.35,309.58,277.62
4338.6,266.78,311.45,278.27
4518.6,267.44,317.73,279.72
4638.6,267.89,319.68,280.66
4753.6,268.34,315.29,280.96
4926.2,269.03,318.2,281.93
5046.2,269.53,316.91,282.38
5226.2,270.3,321.28,283.52
5346.2,270.83,325,284.52
5526.2,271.63,324.92,285.49
5646.2,272.18,329.61,286.57
5766.2,272.73,332.76,287.65
5946.2,273.58,332.64,288.8
6066.2,274.16,336.66,289.89
6246.2,275.06,336.85,291.16
6366.2,275.68,336.62,291.83
6486.2,276.31,341.85,292.98
6666.2,277.28,340.55,294.1
6786.2,277.94,341.61,294.88
6966.2,278.96,345.2,296.4
7080.1,279.62,343.82,296.97
7200.1,280.31,351.15,298.28
7380.1,281.36,351.32,299.67
7500.1,282.07,349.37,300.28
7680.1,283.15,350.62,301.39
7800.1,283.88,351.91,302.19
7920.1,284.62,356.57,303.32
8100.1,285.73,359.81,304.9
8220.1,286.49,364.04,306.18
8400.1,287.63,366.22,307.84
8520.1,288.4,367.53,308.89
8640.1,289.18,369.69,310
8820.1,290.38,365.62,310.92
8940.1,291.19,369.73,312.01
9120.1,292.43,372.37,313.6
9240.1,293.27,372.98,314.52
9360.1,294.11,378.95,315.91
9540.1,295.4,375.17,317.01
9660.1,296.26,380.62,318.3
9840.1,297.58,377.96,319.48
9960.1,298.46,378.56,320.31
10080,299.35,383.17,321.52
10260,300.7,384.4,323.05
10380,301.6,386.54,324.15
10560,302.96,387.03,325.6
10680,303.87,388.01,326.54
10800,304.78,393.83,327.92
10980,306.12,394.79,329.56
11100,307.02,392.71,330.3
11280,308.39,398.47,332.16
11400,309.3,396.09,332.9
11520,310.22,399.36,333.99
11700,311.61,405.5,336
11820,312.55,406.65,337.17
12000,313.96,408.15,338.8
12120,314.91,410.46,340.03
12240,315.87,405.15,340.6
12420,317.32,413.07,342.5
12540,318.3,417.18,343.95
12720,319.78,414.51,345.22
12840,320.77,420.19,346.71
13018,322.25,417.72,347.95
13138,323.25,423.92,349.47
13258,324.27,425.71,350.79
13438,325.8,424.43,352.32
13558,326.82,424.12,353.25
13738,328.38,429.22,355.15
13858,329.42,431.53,356.43
13978,330.47,433.42,357.69
14158,332.05,434.46,359.38
14278,333.1,437.9,360.73
14400,334.14,440.39,362.07
