Time (s),T_outer (C),T_inner (C),T_ave (C)
170,450.0,453.19,450.42
320,450.0,456.06,450.94
470,450.0,458.94,451.55
620,450.01,461.83,452.22
720,450.01,463.75,452.7
870,450.03,466.64,453.47
1020,450.06,469.53,454.28
1170,450.11,472.42,455.13
1320,450.19,475.31,456.02
1470,450.29,478.2,456.94
1620,450.42,481.1,457.91
1770,450.57,483.99,458.91
1920,450.77,484.65,459.66
2020,450.91,484.67,460.06
2170,451.16,484.69,460.58
2320,451.44,484.7,461.07
2470,451.74,484.71,461.52
2620,452.08,484.72,461.94
2770,452.44,484.73,462.35
2920,452.82,484.73,462.74
3070,453.21,484.74,463.12
3170,453.47,484.74,463.36
3320,453.88,484.75,463.72
3470,454.29,484.75,464.07
3620,454.7,484.76,464.42
3770,455.11,484.76,464.75
3920,455.53,484.77,465.08
4070,455.94,484.77,465.4
4220,456.35,484.77,465.72
4320,456.62,484.78,465.93
4470,457.02,484.78,466.23
4620,457.42,484.78,466.54
4770,457.82,484.79,466.83
4920,458.21,484.79,467.12
5070,458.59,484.79,467.41
5220,458.98,484.8,467.69
5370,459.35,484.8,467.97
5520,459.72,484.8,468.24
5620,459.97,484.8,468.42
5770,460.33,484.81,468.69
5920,460.69,484.81,468.95
6070,461.04,484.81,469.21
6220,461.39,484.82,469.46
6370,461.73,484.82,469.71
6520,462.07,484.82,469.95
6670,462.41,484.82,470.19
6770,462.62,484.83,470.35
6920,462.95,484.83,470.58
7070,463.27,484.83,470.82
7220,463.59,484.47,471.0
7370,463.9,481.64,470.84
7520,464.21,478.78,470.54
7670,464.51,475.9,470.15
7820,464.8,473.02,469.69
7920,464.99,471.1,469.35
8070,465.26,468.21,468.79
8220,465.52,465.33,468.19
8370,465.75,462.44,467.54
8520,465.95,459.55,466.84
8670,466.13,456.66,466.11
8820,466.27,453.77,465.34
8970,466.38,450.88,464.53
9120,466.45,450.22,463.96
9220,466.48,450.2,463.69
9370,466.49,450.18,463.34
9520,466.46,450.17,463.03
9670,466.4,450.16,462.76
9820,466.31,450.15,462.5
9970,466.19,450.15,462.27
10120,466.05,450.14,462.04
10270,465.9,450.14,461.83
10370,465.79,450.14,461.69
10520,465.61,450.13,461.49
10670,465.43,450.13,461.29
10820,465.24,450.13,461.1
10970,465.04,450.12,460.92
11120,464.85,450.12,460.74
11270,464.65,450.12,460.56
11420,464.45,450.12,460.39
11520,464.32,450.12,460.28
11670,464.12,450.11,460.11
11820,463.92,450.11,459.95
11970,463.72,450.11,459.79
12120,463.53,450.11,459.63
12270,463.33,450.11,459.48
12420,463.14,450.11,459.32
12570,462.95,450.1,459.18
12720,462.77,450.1,459.03
12820,462.64,450.1,458.93
12970,462.46,450.1,458.79
13120,462.28,450.1,458.65
13270,462.1,450.1,458.51
13420,461.93,450.1,458.37
13570,461.75,450.09,458.24
13720,461.58,450.09,458.11
13870,461.42,450.09,457.98
13970,461.3,450.09,457.89
14120,461.14,450.09,457.77
14270,460.98,450.09,457.64
14400,460.84,450.09,457.54
