Time (s),T_outer (C),T_inner (C),T_ave (C)
170,390.0,392.28,390.3
320,390.0,394.33,390.67
470,390.0,396.39,391.11
620,390.0,398.45,391.59
720,390.01,399.82,391.94
870,390.02,401.88,392.48
1020,390.05,403.95,393.06
1170,390.09,406.01,393.67
1320,390.14,408.08,394.31
1470,390.22,410.14,394.98
1620,390.31,412.21,395.67
1770,390.43,414.28,396.38
1920,390.57,414.75,396.93
2020,390.68,414.76,397.21
2170,390.86,414.77,397.59
2320,391.06,414.78,397.94
2470,391.29,414.79,398.26
2620,391.53,414.8,398.56
2770,391.8,414.8,398.86
2920,392.07,414.81,399.14
3070,392.35,414.81,399.41
3170,392.55,414.82,399.58
3320,392.84,414.82,399.84
3470,393.14,414.82,400.1
3620,393.44,414.83,400.34
3770,393.74,414.83,400.58
3920,394.04,414.83,400.82
4070,394.34,414.84,401.05
4220,394.63,414.84,401.28
4320,394.83,414.84,401.43
4470,395.12,414.84,401.65
4620,395.41,414.84,401.87
4770,395.69,414.85,402.08
4920,395.98,414.85,402.29
5070,396.26,414.85,402.5
5220,396.53,414.85,402.7
5370,396.8,414.86,402.9
5520,397.07,414.86,403.09
5620,397.25,414.86,403.22
5770,397.51,414.86,403.41
5920,397.76,414.86,403.6
6070,398.02,414.87,403.78
6220,398.27,414.87,403.97
6370,398.52,414.87,404.14
6520,398.76,414.87,404.32
6670,399.0,414.87,404.49
6770,399.16,414.87,404.61
6920,399.39,414.88,404.77
7070,399.62,414.88,404.94
7220,399.85,414.62,405.07
7370,400.07,412.6,404.96
7520,400.29,410.55,404.74
7670,400.51,408.5,404.46
7820,400.72,406.44,404.13
7920,400.86,405.07,403.89
8070,401.05,403.01,403.49
8220,401.23,400.95,403.05
8370,401.4,398.89,402.59
8520,401.54,396.82,402.09
8670,401.66,394.76,401.56
8820,401.76,392.69,401.01
8970,401.84,390.63,400.43
9120,401.88,390.16,400.02
9220,401.9,390.15,399.82
9370,401.9,390.13,399.57
9520,401.88,390.12,399.35
9670,401.83,390.12,399.16
9820,401.76,390.11,398.97
9970,401.67,390.11,398.8
10120,401.57,390.1,398.64
10270,401.45,390.1,398.48
10370,401.37,390.1,398.38
10520,401.24,390.1,398.24
10670,401.1,390.09,398.1
10820,400.96,390.09,397.96
10970,400.82,390.09,397.83
11120,400.67,390.09,397.7
11270,400.53,390.09,397.57
11420,400.38,390.09,397.45
11520,400.28,390.08,397.36
11670,400.14,390.08,397.24
11820,399.99,390.08,397.13
11970,399.85,390.08,397.01
12120,399.71,390.08,396.9
12270,399.56,390.08,396.78
12420,399.43,390.08,396.67
12570,399.29,390.08,396.57
12720,399.15,390.07,396.46
12820,399.06,390.07,396.39
12970,398.93,390.07,396.29
13120,398.8,390.07,396.18
13270,398.67,390.07,396.08
13420,398.54,390.07,395.99
13570,398.41,390.07,395.89
13720,398.29,390.07,395.79
13870,398.17,390.07,395.7
13970,398.09,390.07,395.64
14120,397.97,390.06,395.55
14270,397.85,390.06,395.46
14400,397.75,390.06,395.38
