Time (s),T_outer (C),T_inner (C),T_ave (C)
153.96,105.86,140.37,109.16
293.96,105.86,175.86,114.3
433.96,105.88,211.73,120.8
583.96,106,244.55,128.16
723.96,106.3,281.87,136.03
873.96,106.92,321.17,145.33
1014,107.85,356.15,154.32
1154,109.18,391.35,163.73
1304,111.08,429.55,174.25
1444,113.29,465.26,184.51
1594,116.15,503.15,195.9
1734,119.26,504.39,204.25
1874,122.8,503.28,211.07
2024,127.08,502.65,217.6
2164,131.45,505.17,223.48
2314,136.39,504.09,229.13
2454,141.22,501.25,233.83
2594,146.22,497.45,238.11
2744,151.69,497.97,242.73
2884,156.87,501.28,247.21
3034,162.45,505.07,252.22
3174,167.65,502.57,256.35
3314,172.77,504.05,260.48
3464,177.88,503.79,264.78
3604,182.61,499.65,268.2
3754,187.64,502.11,272.12
3894,192.3,503.32,275.82
4034,196.91,502.85,279.37
4184,201.8,498.51,282.69
4324,206.32,501.44,286.06
4474,211.09,502.85,289.81
4614,215.48,501.14,292.97
4754,219.66,499.03,295.94
4904,223.95,500.5,299.19
5044,227.91,502.06,302.37
5194,232.1,499.93,305.4
5334,235.96,499.38,308.17
5474,239.78,499.46,310.94
5624,243.82,499.95,313.93
5764,247.54,499.58,316.63
5914,251.48,499.73,319.49
6054,255.09,499.57,322.13
6194,258.66,498.59,324.63
6344,262.42,502.66,327.63
6484,265.71,503.01,330.4
6634,269.17,501.4,332.95
6774,272.37,503.18,335.51
6914,275.53,504.43,338.07
7064,278.88,504.56,340.72
7204,281.98,502.57,342.96
7354,285.26,470.6,342.76
7494,288.23,439.67,341.01
7634,291.14,407.99,338.23
7784,294.19,372.69,334.24
7924,296.95,343.79,330.03
8074,299.77,313.51,325.08
8214,302.23,285,319.99
8354,304.46,254.39,314.2
8504,306.56,218.47,307.13
8644,308.21,184.63,299.71
8794,309.63,151.1,291.44
8934,310.58,122.56,283.39
9074,311.16,108.67,276.2
9224,311.33,108.63,270.67
9364,311.05,106.91,266.22
9514,310.27,105.18,261.96
9654,309.12,106.02,258.49
9794,307.61,111.01,255.85
9944,305.66,105.29,252.54
10084,303.6,102.82,249.4
10234,301.16,102.97,246.44
10374,298.72,103.17,243.84
10514,296.16,103.31,241.36
10664,293.33,104.73,238.91
10804,290.64,107.73,236.97
10954,287.71,107.42,234.77
11094,284.97,104.96,232.52
11234,282.23,103.51,230.14
11384,279.31,109.9,228.47
11524,276.61,109.51,226.76
11674,273.74,108.75,224.71
11814,271.1,108.38,222.86
11954,268.5,103.77,220.59
12104,265.76,106.05,218.52
12244,263.24,110.03,217.17
12394,260.58,110.58,215.53
12534,258.1,110.92,213.98
12674,255.56,110.65,212.37
12824,252.89,109.77,210.54
12964,250.45,109.24,208.83
13114,247.9,107.6,206.91
13254,245.57,105.55,205.02
13394,243.29,103.21,203.04
13544,240.89,104.55,201.23
13684,238.69,104.12,199.59
13834,236.36,102.4,197.66
13974,234.22,101.66,195.92
14114,232.1,106.43,194.66
14264,229.86,108.46,193.57
14400,227.86,104.22,191.9
