Time (s),T_outer (C),T_inner (C),T_ave (C)
170,300.0,301.82,300.24
320,300.0,303.46,300.55
470,300.0,305.11,300.9
620,300.01,306.76,301.29
720,300.01,307.86,301.57
870,300.03,309.51,302.02
1020,300.05,311.16,302.49
1170,300.09,312.81,302.99
1320,300.15,314.46,303.51
1470,300.23,316.11,304.05
1620,300.32,317.76,304.61
1770,300.43,319.42,305.2
1920,300.57,319.79,305.64
2020,300.67,319.8,305.87
2170,300.85,319.81,306.18
2320,301.04,319.82,306.47
2470,301.25,319.83,306.73
2620,301.48,319.83,306.99
2770,301.72,319.84,307.23
2920,301.97,319.84,307.46
3070,302.22,319.85,307.68
3170,302.39,319.85,307.83
3320,302.65,319.85,308.04
3470,302.92,319.86,308.25
3620,303.18,319.86,308.46
3770,303.44,319.86,308.65
3920,303.7,319.86,308.85
4070,303.96,319.87,309.04
4220,304.21,319.87,309.23
4320,304.38,319.87,309.35
4470,304.63,319.87,309.53
4620,304.88,319.87,309.71
4770,305.12,319.88,309.89
4920,305.36,319.88,310.06
5070,305.59,319.88,310.23
5220,305.83,319.88,310.4
5370,306.05,319.88,310.56
5520,306.28,319.89,310.72
5620,306.43,319.89,310.83
5770,306.65,319.89,310.98
5920,306.86,319.89,311.14
6070,307.08,319.89,311.29
6220,307.29,319.89,311.43
6370,307.49,319.9,311.58
6520,307.69,319.9,311.72
6670,307.89,319.9,311.86
6770,308.02,319.9,311.96
6920,308.22,319.9,312.09
7070,308.41,319.9,312.23
7220,308.6,319.7,312.34
7370,308.78,318.08,312.24
7520,308.96,316.45,312.07
7670,309.14,314.8,311.84
7820,309.31,313.16,311.57
7920,309.42,312.06,311.37
8070,309.58,310.41,311.05
8220,309.72,308.76,310.69
8370,309.84,307.11,310.31
8520,309.95,305.46,309.91
8670,310.04,303.81,309.48
8820,310.1,302.16,309.02
8970,310.14,300.51,308.55
9120,310.16,300.13,308.21
9220,310.15,300.12,308.05
9370,310.13,300.11,307.84
9520,310.08,300.11,307.66
9670,310.02,300.1,307.49
9820,309.93,300.1,307.34
9970,309.83,300.09,307.19
10120,309.72,300.09,307.06
10270,309.6,300.09,306.93
10370,309.51,300.09,306.84
10520,309.38,300.08,306.72
10670,309.25,300.08,306.6
10820,309.12,300.08,306.48
10970,308.98,300.08,306.37
11120,308.84,300.08,306.26
11270,308.71,300.07,306.15
11420,308.57,300.07,306.04
11520,308.48,300.07,305.97
11670,308.35,300.07,305.87
11820,308.22,300.07,305.77
11970,308.08,300.07,305.67
12120,307.95,300.07,305.58
12270,307.83,300.07,305.48
12420,307.7,300.07,305.39
12570,307.58,300.06,305.3
12720,307.45,300.06,305.21
12820,307.37,300.06,305.15
12970,307.26,300.06,305.06
13120,307.14,300.06,304.97
13270,307.02,300.06,304.89
13420,306.91,300.06,304.8
13570,306.8,300.06,304.72
13720,306.69,300.06,304.64
13870,306.58,300.06,304.56
13970,306.51,300.06,304.51
14120,306.4,300.05,304.43
14270,306.3,300.05,304.36
14400,306.21,300.05,304.3
