Time (s),T_outer (C),T_inner (C),T_ave (C)
161,350.0,355.88,350.54
341,350.0,358.85,351.07
461,350.0,361.63,351.61
581,350.0,363.88,352.19
761,350.02,365.4,352.68
881,350.04,366.91,353.17
1061,350.08,368.51,353.7
1181,350.14,369.68,354.18
1301,350.23,370.93,354.68
1481,350.34,372.1,355.15
1601,350.47,373.16,355.62
1781,350.63,374.22,356.11
1901,350.8,375.2,356.57
2021,351.0,376.23,357.06
2201,351.2,377.06,357.51
2321,351.43,377.89,357.96
2501,351.68,378.78,358.44
2621,351.93,379.6,358.89
2741,352.22,380.49,359.38
2921,352.5,381.31,359.83
3041,352.79,382.12,360.29
3221,353.11,382.87,360.78
3341,353.42,383.57,361.23
3461,353.76,384.31,361.71
3641,354.08,385.01,362.16
3761,354.42,385.7,362.62
3941,354.79,386.45,363.1
4061,355.14,387.13,363.56
4181,355.52,387.79,364.05
4361,355.88,388.4,364.5
4481,356.25,389.02,364.95
4661,356.65,389.68,365.44
4781,357.03,390.29,365.89
4901,357.44,390.95,366.38
5081,357.82,391.55,366.84
5201,358.22,392.1,367.3
5381,358.64,392.7,367.78
5501,359.04,393.25,368.24
5621,359.47,393.85,368.72
5801,359.88,394.4,369.18
5921,360.29,394.95,369.63
6101,360.73,395.54,370.11
6221,361.13,396.05,370.54
6341,361.57,396.6,371.01
6521,361.99,397.11,371.45
6641,362.4,397.62,371.89
6821,362.85,398.17,372.37
6941,363.26,398.68,372.81
7061,363.71,399.22,373.29
7241,364.13,399.66,373.73
7361,364.55,397.82,373.98
7541,365.0,396.0,374.14
7661,365.42,394.41,374.24
7781,365.87,392.7,374.29
7961,366.3,391.1,374.3
8081,366.71,389.51,374.27
8261,367.15,387.8,374.21
8381,367.54,386.2,374.13
8501,367.95,384.48,374.01
8681,368.32,382.87,373.87
8801,368.67,381.26,373.7
8981,369.02,379.54,373.5
9101,369.32,377.93,373.29
9221,369.63,376.2,373.04
9401,369.89,374.59,372.79
9521,370.13,373.27,372.54
9701,370.36,371.98,372.28
9821,370.55,370.77,372.03
9941,370.74,369.48,371.75
10121,370.88,368.27,371.49
10241,371.01,367.07,371.21
10421,371.12,365.77,370.9
10541,371.2,364.78,370.62
10661,371.26,363.77,370.32
10841,371.3,362.83,370.04
10961,371.33,361.89,369.75
11141,371.33,360.89,369.44
11261,371.32,359.95,369.14
11381,371.29,358.94,368.81
11561,371.24,358.23,368.51
11681,371.18,357.56,368.23
11861,371.11,356.84,367.92
11981,371.02,356.17,367.63
12101,370.91,355.45,367.32
12281,370.8,354.78,367.02
12401,370.68,354.11,366.73
12581,370.54,353.57,366.42
12701,370.39,353.1,366.14
12821,370.23,352.59,365.84
13001,370.07,352.18,365.57
13121,369.9,351.84,365.31
13301,369.71,351.48,365.03
13421,369.53,351.15,364.77
13541,369.33,350.92,364.51
13721,369.13,350.71,364.27
13841,368.93,350.51,364.04
14021,368.71,350.35,363.79
14141,368.5,350.28,363.58
14261,368.28,350.19,363.36
14400,368.07,350.15,363.16
