Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,103.28,103.25,103.28
293.97,103.28,104.37,103.37
433.97,103.28,106.48,103.62
583.97,103.28,110.1,104.15
723.97,103.29,110.84,104.54
873.97,103.3,112.44,104.93
1014,103.33,115.24,105.49
1154,103.38,118.06,106.14
1304,103.47,120.98,106.91
1444,103.58,122.78,107.61
1594,103.73,122.45,108.11
1734,103.91,124.87,108.71
1874,104.12,127.44,109.44
2024,104.39,129.96,110.28
2164,104.67,131.18,110.99
2314,105,133.06,111.77
2454,105.35,135.12,112.55
2594,105.72,137.39,113.39
2744,106.16,139.51,114.31
2884,106.59,141.2,115.17
3034,107.09,142.87,116.06
3174,107.58,144.64,116.93
3314,108.1,147.19,117.88
3464,108.69,149.46,118.92
3604,109.26,150.69,119.8
3754,109.9,154.44,120.95
3894,110.52,155.68,121.98
4034,111.16,156.62,122.85
4184,111.88,161.04,124.13
4324,112.57,161.03,125.12
4474,113.34,162.76,126.11
4614,114.09,166.64,127.37
4754,114.86,168.04,128.5
4904,115.7,169.42,129.65
5044,116.52,171.09,130.72
5194,117.41,173.94,132
5334,118.27,175.75,133.19
5474,119.15,177.65,134.37
5624,120.12,179.8,135.66
5764,121.04,181.67,136.87
5914,122.05,183.49,138.16
6054,123.01,185.02,139.36
6194,123.99,186.39,140.53
6344,125.07,189.45,141.92
6484,126.08,192.13,143.29
6634,127.17,194.76,144.72
6774,128.18,197.11,146.06
6914,129.21,199.07,147.4
7064,130.33,200.94,148.8
7204,131.4,202.38,150.08
7354,132.56,198.44,150.94
7494,133.66,195.77,151.51
7634,134.78,194.06,152.07
7784,135.98,193.58,152.74
7924,137.09,190.49,153.16
8074,138.26,187.99,153.47
8214,139.32,186.95,153.84
8354,140.35,185.92,154.22
8504,141.41,184.73,154.61
8644,142.36,182.69,154.89
8794,143.32,178.24,154.85
8934,144.18,176.81,154.89
9074,145,175.54,154.99
9224,145.82,173.93,155.07
9364,146.54,171.3,155.02
9514,147.26,169.06,154.92
9654,147.89,167.27,154.82
9794,148.47,165.69,154.72
9944,149.04,163.68,154.57
10084,149.52,161.52,154.36
10234,149.99,159.05,154.07
10374,150.38,156.98,153.78
10514,150.73,155.67,153.51
10664,151.06,153.8,153.22
10804,151.33,151.17,152.81
10954,151.57,150.8,152.52
11094,151.75,148.18,152.15
11234,151.89,145.26,151.58
11384,152,145.54,151.25
11524,152.07,141.68,150.7
11674,152.1,139.27,150
11814,152.1,139.3,149.62
11954,152.07,136.83,149.08
12104,152,134.08,148.39
12244,151.89,131.88,147.71
12394,151.75,130.59,147.07
12534,151.58,128.54,146.42
12674,151.38,126.58,145.73
12824,151.13,124.59,144.97
12964,150.86,122.59,144.23
13114,150.55,120.27,143.4
13254,150.23,117.94,142.57
13394,149.87,115.44,141.68
13544,149.46,114.36,140.83
13684,149.05,113.17,140.08
13834,148.58,111.64,139.25
13974,148.11,110.13,138.46
14114,147.61,108.22,137.62
14264,147.05,105.95,136.66
14400,146.52,103.72,135.73
