Time (s),T_outer (C),T_inner (C),T_ave (C)
161.72,100.13,100.37,100.15
341.72,100.13,100.62,100.19
461.72,100.13,100.92,100.24
581.72,100.13,101.31,100.31
761.72,100.13,101.75,100.4
881.72,100.14,102.31,100.51
1061.7,100.15,102.91,100.64
1181.7,100.16,103.65,100.8
1301.7,100.18,104.59,101.01
1481.7,100.2,105.61,101.24
1601.7,100.24,106.89,101.54
1781.7,100.28,108.37,101.88
1901.7,100.34,110.07,102.27
2021.7,100.41,112.16,102.77
2201.7,100.49,114.49,103.33
2321.7,100.61,117.44,104.03
2501.7,100.73,120.56,104.8
2621.7,100.89,124.08,105.69
2741.7,101.09,128.59,106.8
2921.7,101.31,133.3,107.99
3041.7,101.6,138.89,109.45
3221.7,101.91,144.78,111.01
3341.7,102.28,151.35,112.71
3461.7,102.75,158.9,114.77
3641.7,103.25,166.42,116.89
3761.7,103.88,175.16,119.41
3941.7,104.55,183.62,121.95
4061.7,105.32,192.31,124.64
4181.7,106.24,201.78,127.65
4361.7,107.22,210.56,130.62
4481.7,108.39,219.81,133.94
4661.7,109.61,228.23,137.13
4781.7,110.94,236.18,140.34
4901.7,112.48,244.15,143.73
5081.7,114.05,251.11,146.93
5201.7,115.85,257.96,150.35
5381.7,117.65,263.57,153.51
5501.7,119.56,268.7,156.63
5621.7,121.71,273.65,159.91
5801.7,123.82,277.61,162.9
5921.7,126.14,281.35,165.92
6101.7,128.35,284.4,168.63
6221.7,130.62,287.06,171.27
6341.7,133.11,289.41,174.03
6521.7,135.47,291.33,176.53
6641.7,138.03,293.12,179.14
6821.7,140.45,294.51,181.51
6941.7,142.89,295.67,183.81
7061.7,145.52,296.76,186.22
7241.7,147.98,297.6,188.4
7361.7,150.61,296.76,190.54
7541.7,153.06,295.8,192.39
7661.7,155.5,294.7,194.14
7781.7,158.09,293.28,195.9
7961.7,160.49,291.65,197.44
8081.7,163.03,289.64,198.96
8261.7,165.35,287.49,200.27
8381.7,167.63,284.89,201.45
8501.7,170.02,281.67,202.57
8681.7,172.04,278.27,203.43
8801.7,174.14,274.1,204.15
8981.7,176.04,269.5,204.64
9101.7,177.89,264.42,204.96
9221.7,179.8,258.4,205.09
9401.7,181.52,252.07,205.0
9521.7,183.28,244.63,204.67
9701.7,184.83,237.21,204.15
9821.7,186.27,229.33,203.41
9941.7,187.7,220.34,202.38
10122.0,188.95,211.72,201.23
10242.0,190.16,202.32,199.78
10422.0,191.18,193.49,198.27
10542.0,192.07,184.83,196.59
10662.0,192.88,175.79,194.68
10842.0,193.51,167.62,192.81
10962.0,194.03,159.54,190.75
11142.0,194.38,152.51,188.8
11262.0,194.58,145.96,186.81
11382.0,194.65,139.6,184.67
11562.0,194.58,134.41,182.72
11682.0,194.35,129.37,180.68
11862.0,194.01,125.14,178.83
11982.0,193.55,121.58,177.05
12102.0,192.93,118.23,175.21
12282.0,192.25,115.47,173.55
12402.0,191.42,112.93,171.85
12582.0,190.57,110.98,170.32
12702.0,189.64,109.27,168.85
12822.0,188.58,107.68,167.34
13002.0,187.54,106.46,165.99
13122.0,186.37,105.35,164.59
13302.0,185.25,104.46,163.32
13422.0,184.1,103.69,162.11
13542.0,182.84,103.03,160.84
13722.0,181.62,102.53,159.64
13842.0,180.3,102.04,158.39
14022.0,179.05,101.65,157.26
14142.0,177.79,101.34,156.17
14262.0,176.44,101.05,155.03
14400.0,175.22,100.82,154.03
