Time (s),T_outer (C),T_inner (C),T_ave (C)
170,400.0,404.56,400.6
320,400.0,408.66,401.35
470,400.0,412.78,402.22
620,400.01,416.9,403.18
720,400.02,419.64,403.87
870,400.05,423.77,404.96
1020,400.09,427.9,406.12
1170,400.17,432.03,407.34
1320,400.28,436.16,408.61
1470,400.42,440.29,409.94
1620,400.61,444.42,411.32
1770,400.84,448.56,412.75
1920,401.11,449.5,413.83
2020,401.32,449.52,414.39
2170,401.68,449.55,415.15
2320,402.08,449.57,415.84
2470,402.53,449.59,416.49
2620,403.01,449.6,417.1
2770,403.53,449.61,417.68
2920,404.07,449.62,418.24
3070,404.63,449.63,418.78
3170,405.01,449.63,419.13
3320,405.59,449.64,419.65
3470,406.18,449.65,420.15
3620,406.78,449.65,420.65
3770,407.37,449.66,421.13
3920,407.96,449.67,421.6
4070,408.55,449.67,422.06
4220,409.14,449.68,422.52
4320,409.53,449.68,422.81
4470,410.1,449.69,423.25
4620,410.68,449.69,423.69
4770,411.24,449.69,424.11
4920,411.8,449.7,424.53
5070,412.36,449.7,424.94
5220,412.9,449.71,425.34
5370,413.44,449.71,425.74
5520,413.97,449.72,426.13
5620,414.32,449.72,426.39
5770,414.84,449.72,426.77
5920,415.36,449.73,427.14
6070,415.86,449.73,427.51
6220,416.36,449.74,427.87
6370,416.85,449.74,428.23
6520,417.33,449.74,428.58
6670,417.81,449.75,428.92
6770,418.12,449.75,429.15
6920,418.59,449.75,429.49
7070,419.05,449.76,429.82
7220,419.5,449.24,430.09
7370,419.95,445.21,429.86
7520,420.38,441.11,429.42
7670,420.82,437.0,428.86
7820,421.24,432.88,428.2
7920,421.51,430.14,427.72
8070,421.9,426.02,426.92
8220,422.26,421.89,426.05
8370,422.59,417.77,425.12
8520,422.88,413.64,424.13
8670,423.13,409.51,423.08
8820,423.33,405.39,421.97
8970,423.48,401.26,420.82
9120,423.58,400.32,420.0
9220,423.62,400.29,419.61
9370,423.63,400.26,419.11
9520,423.59,400.25,418.67
9670,423.5,400.23,418.27
9820,423.37,400.22,417.91
9970,423.19,400.21,417.57
10120,422.99,400.21,417.24
10270,422.77,400.2,416.94
10370,422.61,400.2,416.74
10520,422.35,400.19,416.45
10670,422.09,400.19,416.17
10820,421.81,400.18,415.9
10970,421.53,400.18,415.63
11120,421.25,400.17,415.37
11270,420.96,400.17,415.12
11420,420.68,400.17,414.87
11520,420.48,400.17,414.71
11670,420.2,400.16,414.47
11820,419.91,400.16,414.24
11970,419.63,400.16,414.0
12120,419.35,400.16,413.78
12270,419.07,400.15,413.56
12420,418.8,400.15,413.34
12570,418.53,400.15,413.12
12720,418.26,400.15,412.91
12820,418.08,400.15,412.77
12970,417.82,400.14,412.57
13120,417.56,400.14,412.36
13270,417.3,400.14,412.16
13420,417.05,400.14,411.97
13570,416.8,400.13,411.78
13720,416.56,400.13,411.59
13870,416.32,400.13,411.4
13970,416.16,400.13,411.28
14120,415.92,400.13,411.1
14270,415.69,400.13,410.92
14400,415.49,400.12,410.76
