Time (s),T_outer (C),T_inner (C),T_ave (C)
170,450.0,454.56,450.6
320,450.0,458.66,451.34
470,450.0,462.78,452.21
620,450.01,466.9,453.18
720,450.02,469.65,453.86
870,450.04,473.77,454.95
1020,450.09,477.9,456.11
1170,450.16,482.03,457.32
1320,450.27,486.16,458.6
1470,450.41,490.29,459.92
1620,450.59,494.42,461.3
1770,450.82,498.56,462.72
1920,451.09,499.5,463.8
2020,451.3,499.52,464.36
2170,451.65,499.55,465.12
2320,452.05,499.57,465.81
2470,452.49,499.59,466.45
2620,452.97,499.6,467.06
2770,453.48,499.61,467.64
2920,454.02,499.62,468.2
3070,454.58,499.63,468.74
3170,454.95,499.63,469.09
3320,455.53,499.64,469.6
3470,456.12,499.65,470.1
3620,456.7,499.66,470.59
3770,457.29,499.66,471.07
3920,457.88,499.67,471.54
4070,458.47,499.67,472.0
4220,459.06,499.68,472.46
4320,459.44,499.68,472.75
4470,460.02,499.69,473.19
4620,460.59,499.69,473.62
4770,461.15,499.7,474.05
4920,461.71,499.7,474.46
5070,462.26,499.7,474.87
5220,462.8,499.71,475.28
5370,463.34,499.71,475.67
5520,463.87,499.72,476.06
5620,464.22,499.72,476.32
5770,464.74,499.72,476.7
5920,465.25,499.73,477.07
6070,465.75,499.73,477.44
6220,466.25,499.74,477.8
6370,466.74,499.74,478.15
6520,467.22,499.74,478.5
6670,467.7,499.75,478.85
6770,468.01,499.75,479.07
6920,468.48,499.75,479.41
7070,468.93,499.76,479.74
7220,469.38,499.24,480.01
7370,469.83,495.21,479.78
7520,470.27,491.11,479.35
7670,470.7,487.0,478.79
7820,471.12,482.88,478.13
7920,471.39,480.14,477.64
8070,471.78,476.02,476.85
8220,472.14,471.89,475.98
8370,472.47,467.77,475.05
8520,472.76,463.64,474.06
8670,473.01,459.51,473.01
8820,473.21,455.38,471.91
8970,473.37,451.25,470.76
9120,473.47,450.31,469.94
9220,473.51,450.29,469.55
9370,473.53,450.26,469.05
9520,473.49,450.24,468.62
9670,473.41,450.23,468.22
9820,473.28,450.22,467.86
9970,473.11,450.21,467.52
10120,472.91,450.2,467.2
10270,472.69,450.2,466.9
10370,472.54,450.19,466.7
10520,472.29,450.19,466.41
10670,472.02,450.18,466.13
10820,471.75,450.18,465.86
10970,471.48,450.18,465.6
11120,471.19,450.17,465.34
11270,470.91,450.17,465.09
11420,470.63,450.17,464.85
11520,470.44,450.17,464.68
11670,470.15,450.16,464.45
11820,469.87,450.16,464.21
11970,469.59,450.16,463.98
12120,469.31,450.16,463.76
12270,469.04,450.15,463.54
12420,468.77,450.15,463.32
12570,468.5,450.15,463.11
12720,468.23,450.15,462.9
12820,468.06,450.14,462.76
12970,467.79,450.14,462.55
13120,467.54,450.14,462.35
13270,467.28,450.14,462.16
13420,467.03,450.14,461.96
13570,466.79,450.13,461.77
13720,466.54,450.13,461.58
13870,466.3,450.13,461.4
13970,466.15,450.13,461.27
14120,465.91,450.13,461.09
14270,465.68,450.13,460.92
14400,465.48,450.12,460.77
