Time (s),T_outer (C),T_inner (C),T_ave (C)
155.57,100.0,101.04,100.12
335.57,100.0,101.46,100.21
455.57,100.0,101.92,100.31
635.57,100.01,102.51,100.44
755.57,100.01,103.18,100.59
875.57,100.03,103.97,100.76
1055.6,100.05,104.95,100.99
1175.6,100.08,106.08,101.24
1355.6,100.12,107.51,101.57
1475.6,100.17,109.06,101.93
1595.6,100.23,110.88,102.36
1775.6,100.31,113.27,102.92
1895.6,100.41,115.85,103.53
2075.6,100.53,119.03,104.3
2195.6,100.67,122.59,105.16
2315.6,100.84,126.75,106.16
2495.6,101.06,131.82,107.41
2615.6,101.31,137.18,108.77
2795.6,101.62,144.05,110.48
2915.6,101.97,151.23,112.25
3035.6,102.39,159.12,114.29
3215.6,102.9,168.71,116.79
3335.6,103.47,178.69,119.42
3515.6,104.18,190.22,122.55
3635.6,104.95,201.66,125.71
3755.6,105.83,214.07,129.21
3935.6,106.91,227.84,133.28
4055.6,108.06,241.07,137.26
4235.6,109.44,255.47,141.8
4355.6,110.9,268.84,146.26
4475.6,112.51,282.04,150.84
4655.6,114.42,295.75,155.81
4775.6,116.37,307.81,160.56
4955.6,118.65,319.93,165.73
5075.6,120.94,330.57,170.42
5195.6,123.38,340.3,175.08
5375.6,126.17,349.52,180.05
5495.6,128.93,357.32,184.63
5675.6,132.05,364.84,189.46
5795.6,135.05,370.93,193.73
5915.6,138.13,376.19,197.83
6095.6,141.55,381.18,202.14
6215.6,144.82,385.24,206.06
6395.6,148.42,388.81,210.14
6515.6,151.84,391.72,213.85
6635.6,155.31,394.29,217.47
6815.6,159.08,396.55,221.23
6935.6,162.63,398.33,224.65
7115.6,166.47,399.98,228.21
7235.6,170.06,401.25,231.45
7355.6,173.52,400.11,234.32
7535.6,177.12,398.56,237.1
7655.6,180.46,396.86,239.53
7835.6,184.02,394.69,241.97
7955.6,187.32,392.21,244.1
8075.6,190.59,389.36,246.09
8255.6,194.05,385.87,248.04
8375.6,197.22,381.9,249.68
8555.6,200.56,376.98,251.23
8675.6,203.61,371.79,252.48
8795.6,206.58,365.86,253.5
8975.6,209.69,358.41,254.32
9095.6,212.37,350.65,254.86
9275.6,215.13,341.5,255.11
9395.6,217.62,331.86,255.0
9515.6,220.01,321.31,254.6
9695.6,222.47,309.23,253.82
9815.6,224.62,297.24,252.77
9995.6,226.8,283.55,251.3
10116.0,228.7,270.43,249.62
10236.0,230.45,257.08,247.66
10416.0,232.16,242.68,245.29
10536.0,233.59,229.49,242.88
10716.0,234.93,215.74,240.07
10836.0,235.99,203.32,237.31
10956.0,236.87,191.84,234.5
11136.0,237.59,180.33,231.43
11256.0,238.06,170.35,228.48
11436.0,238.34,160.69,225.37
11556.0,238.41,152.79,222.54
11676.0,238.28,145.59,219.76
11856.0,237.93,138.7,216.88
11976.0,237.43,133.3,214.28
12156.0,236.71,128.2,211.51
12276.0,235.88,124.01,209.04
12396.0,234.9,120.39,206.68
12576.0,233.71,117.18,204.26
12696.0,232.48,114.57,202.1
12876.0,231.05,112.16,199.88
12996.0,229.63,110.3,197.9
13116.0,228.13,108.72,195.98
13296.0,226.46,107.26,194.01
13416.0,224.86,106.1,192.24
13596.0,223.09,105.1,190.4
13716.0,221.41,104.29,188.74
13836.0,219.71,103.59,187.14
14016.0,217.87,102.98,185.47
14136.0,216.14,102.5,183.95
14316.0,214.29,102.06,182.37
14400.0,212.62,101.72,180.98
