Time (s),T_outer (C),T_inner (C),T_ave (C)
161,250.0,256.07,250.61
341,250.0,258.85,251.12
461,250.0,261.62,251.69
581,250.01,263.87,252.3
761,250.03,265.39,252.82
881,250.07,267.02,253.38
1061,250.13,268.5,253.9
1181,250.22,269.67,254.4
1301,250.34,270.93,254.93
1481,250.48,272.09,255.42
1601,250.66,273.22,255.95
1781,250.85,274.21,256.44
1901,251.07,275.19,256.92
2021,251.32,276.22,257.44
2201,251.57,277.05,257.92
2321,251.86,277.94,258.43
2501,252.14,278.77,258.91
2621,252.44,279.59,259.38
2741,252.78,280.48,259.9
2921,253.1,281.3,260.39
3041,253.46,282.16,260.91
3221,253.81,282.86,261.39
3341,254.16,283.56,261.87
3461,254.56,284.3,262.38
3641,254.93,285.0,262.87
3761,255.34,285.74,263.38
3941,255.73,286.44,263.87
4061,256.12,287.12,264.36
4181,256.55,287.78,264.88
4361,256.96,288.39,265.36
4481,257.4,289.05,265.87
4661,257.82,289.67,266.36
4781,258.24,290.28,266.84
4901,258.7,290.94,267.36
5081,259.13,291.54,267.85
5201,259.6,292.13,268.37
5381,260.03,292.69,268.85
5501,260.48,293.24,269.33
5621,260.95,293.84,269.85
5801,261.4,294.39,270.33
5921,261.88,294.99,270.85
6101,262.33,295.53,271.32
6221,262.78,296.05,271.78
6341,263.26,296.59,272.28
6521,263.7,297.11,272.75
6641,264.19,297.65,273.25
6821,264.64,298.17,273.72
6941,265.09,298.68,274.19
7061,265.58,299.22,274.69
7241,266.03,299.65,275.15
7361,266.52,297.68,275.44
7541,266.97,295.91,275.59
7661,267.43,294.18,275.67
7781,267.92,292.32,275.7
7961,268.37,290.59,275.69
8081,268.84,288.74,275.63
8261,269.27,287.0,275.54
8381,269.68,285.26,275.41
8501,270.1,283.6,275.26
8681,270.46,282.12,275.1
8801,270.83,280.55,274.92
8981,271.15,279.08,274.73
9101,271.44,277.61,274.52
9221,271.72,276.03,274.27
9401,271.96,274.56,274.02
9521,272.18,273.19,273.75
9701,272.36,271.99,273.49
9821,272.52,270.78,273.23
9941,272.66,269.49,272.94
10121,272.77,268.28,272.65
10241,272.86,266.99,272.33
10421,272.92,265.79,272.02
10541,272.96,264.79,271.71
10661,272.98,263.79,271.39
10841,272.97,262.85,271.08
10961,272.95,261.84,270.74
11141,272.91,260.9,270.42
11261,272.85,259.96,270.09
11381,272.77,258.96,269.73
11561,272.67,258.25,269.41
11681,272.56,257.53,269.07
11861,272.43,256.86,268.75
11981,272.3,256.19,268.43
12101,272.14,255.47,268.09
12281,271.98,254.8,267.76
12401,271.79,254.08,267.41
12581,271.61,253.59,267.09
12701,271.42,253.12,266.78
12821,271.2,252.61,266.45
13001,270.99,252.2,266.14
13121,270.76,251.84,265.83
13301,270.53,251.5,265.54
13421,270.3,251.16,265.25
13541,270.05,250.94,264.96
13721,269.8,250.73,264.69
13841,269.54,250.51,264.41
14021,269.29,250.37,264.16
14141,269.04,250.29,263.92
14261,268.77,250.21,263.67
14400,268.52,250.16,263.44
