Time (s),T_outer (C),T_inner (C),T_ave (C)
170,260.0,262.73,260.37
320,260.0,265.19,260.83
470,260.0,267.66,261.36
620,260.01,270.13,261.95
720,260.02,271.78,262.38
870,260.05,274.26,263.05
1020,260.09,276.73,263.76
1170,260.16,279.21,264.52
1320,260.26,281.69,265.3
1470,260.38,284.16,266.12
1620,260.53,286.64,266.97
1770,260.72,289.12,267.86
1920,260.94,289.69,268.53
2020,261.11,289.7,268.88
2170,261.39,289.72,269.35
2320,261.7,289.73,269.78
2470,262.04,289.74,270.19
2620,262.4,289.75,270.57
2770,262.78,289.76,270.93
2920,263.17,289.76,271.29
3070,263.57,289.77,271.63
3170,263.84,289.77,271.85
3320,264.25,289.78,272.17
3470,264.66,289.78,272.49
3620,265.07,289.79,272.8
3770,265.47,289.79,273.11
3920,265.88,289.79,273.4
4070,266.27,289.8,273.69
4220,266.67,289.8,273.98
4320,266.93,289.8,274.17
4470,267.31,289.81,274.44
4620,267.69,289.81,274.71
4770,268.07,289.81,274.98
4920,268.43,289.82,275.24
5070,268.8,289.82,275.5
5220,269.15,289.82,275.75
5370,269.5,289.83,276.0
5520,269.85,289.83,276.24
5620,270.08,289.83,276.4
5770,270.41,289.83,276.64
5920,270.74,289.84,276.87
6070,271.07,289.84,277.1
6220,271.39,289.84,277.32
6370,271.7,289.84,277.54
6520,272.01,289.85,277.76
6670,272.31,289.85,277.97
6770,272.51,289.85,278.11
6920,272.81,289.85,278.32
7070,273.1,289.86,278.52
7220,273.38,289.55,278.69
7370,273.66,287.13,278.55
7520,273.94,284.67,278.28
7670,274.21,282.21,277.93
7820,274.46,279.74,277.53
7920,274.63,278.09,277.23
8070,274.86,275.62,276.73
8220,275.07,273.15,276.2
8370,275.25,270.67,275.62
8520,275.4,268.2,275.01
8670,275.52,265.72,274.36
8820,275.6,263.25,273.67
8970,275.65,260.77,272.95
9120,275.66,260.21,272.44
9220,275.64,260.19,272.19
9370,275.59,260.17,271.87
9520,275.5,260.16,271.6
9670,275.38,260.15,271.34
9820,275.23,260.15,271.11
9970,275.06,260.14,270.89
10120,274.87,260.14,270.68
10270,274.67,260.13,270.47
10370,274.53,260.13,270.34
10520,274.32,260.13,270.15
10670,274.1,260.13,269.97
10820,273.89,260.12,269.79
10970,273.67,260.12,269.62
11120,273.45,260.12,269.45
11270,273.23,260.12,269.28
11420,273.01,260.11,269.12
11520,272.87,260.11,269.01
11670,272.66,260.11,268.85
11820,272.45,260.11,268.7
11970,272.24,260.11,268.55
12120,272.04,260.1,268.4
12270,271.83,260.1,268.25
12420,271.64,260.1,268.11
12570,271.44,260.1,267.97
12720,271.25,260.1,267.83
12820,271.12,260.1,267.74
12970,270.93,260.09,267.6
13120,270.75,260.09,267.47
13270,270.57,260.09,267.34
13420,270.39,260.09,267.21
13570,270.22,260.09,267.09
13720,270.04,260.09,266.96
13870,269.87,260.09,266.84
13970,269.76,260.08,266.76
14120,269.6,260.08,266.64
14270,269.44,260.08,266.53
14400,269.3,260.08,266.43
