Time (s),T_outer (C),T_inner (C),T_ave (C)
202,22.23,22.489,22.255
322,22.23,22.771,22.295
442,22.23,23.094,22.351
622,22.231,23.515,22.43
742,22.234,24.005,22.524
922,22.239,24.612,22.649
1042,22.248,25.263,22.791
1162,22.261,26.084,22.967
1342,22.282,27.12,23.194
1462,22.31,28.24,23.448
1642,22.349,29.654,23.778
1762,22.396,31.297,24.149
1882,22.456,33.181,24.586
2062,22.537,35.508,25.142
2182,22.631,38.132,25.765
2362,22.756,41.456,26.552
2482,22.898,45.005,27.413
2602,23.069,49.036,28.42
2782,23.291,54.246,29.69
2902,23.539,59.752,31.06
3082,23.859,66.361,32.753
3202,24.213,73.406,34.579
3322,24.632,81.389,36.653
3502,25.161,90.716,39.158
3622,25.742,100.14,41.783
3802,26.471,111.36,44.924
3922,27.261,122.45,48.138
4042,28.172,134.0,51.63
4222,29.294,146.91,55.672
4342,30.491,159.24,59.655
4522,31.947,172.43,64.121
4642,33.477,184.66,68.498
4762,35.18,196.5,73.013
4942,37.202,208.65,77.838
5062,39.276,219.42,82.423
5242,41.696,230.21,87.38
5362,44.135,239.23,91.998
5482,46.741,247.63,96.518
5662,49.711,255.76,101.21
5782,52.636,262.37,105.53
5962,55.914,268.6,110.08
6082,59.094,273.78,114.25
6202,62.377,278.36,118.31
6382,65.994,282.42,122.53
6502,69.45,285.75,126.38
6682,73.225,288.86,130.38
6802,76.802,291.36,133.85
6922,80.408,293.4,137.22
7102,84.278,295.31,140.74
7222,87.885,296.79,143.95
7402,91.737,295.29,147.05
7522,95.316,293.59,149.71
7642,98.874,291.63,152.21
7822,102.65,289.12,154.69
7942,106.14,286.27,156.82
8122,109.81,282.77,158.92
8242,113.18,279.05,160.68
8362,116.47,274.58,162.24
8542,119.88,269.08,163.67
8662,122.87,263.33,164.74
8842,125.96,256.35,165.58
8962,128.73,248.76,166.07
9082,131.4,240.48,166.29
9262,134.14,230.81,166.19
9382,136.53,220.81,165.78
9562,138.92,209.3,164.99
9682,141.02,198.02,163.93
9802,142.98,186.24,162.58
9982,144.88,173.15,160.78
10102,146.48,160.86,158.84
10282,148.0,147.71,156.52
10402,149.23,135.67,154.14
10522,150.25,124.11,151.57
10702,151.12,112.27,148.7
10822,151.72,101.77,145.97
11002,152.13,91.667,142.99
11122,152.3,82.981,140.14
11242,152.25,74.974,137.33
11422,151.98,67.367,134.39
11542,151.53,61.233,131.73
11722,150.83,55.342,128.95
11842,150.01,50.455,126.44
11962,149.04,46.379,124.02
12142,147.83,42.564,121.48
12262,146.56,39.441,119.2
12442,145.08,36.582,116.85
12562,143.6,34.415,114.76
12682,142.03,32.502,112.73
12862,140.28,30.735,110.64
12982,138.59,29.381,108.77
13162,136.73,28.159,106.83
13282,134.96,27.172,105.08
13402,133.18,26.322,103.38
13582,131.24,25.602,101.62
13702,129.43,25.018,100.02
13882,127.49,24.477,98.364
14002,125.68,24.061,96.857
14122,123.88,23.717,95.389
14302,121.97,23.396,93.856
14400,120.25,23.142,92.5
