Time (s),T_outer (C),T_inner (C),T_ave (C)
161,150.0,156.07,150.64
341,150.0,158.85,151.19
461,150.0,161.62,151.79
581,150.02,163.86,152.45
761,150.05,165.38,153.0
881,150.12,167.01,153.59
1061,150.22,168.5,154.14
1181,150.34,169.67,154.67
1301,150.52,170.92,155.24
1481,150.71,172.09,155.77
1601,150.94,173.22,156.33
1781,151.19,174.2,156.85
1901,151.46,175.19,157.37
2021,151.77,176.22,157.93
2201,152.09,177.05,158.44
2321,152.44,177.93,158.99
2501,152.78,178.76,159.5
2621,153.14,179.59,160.02
2741,153.54,180.47,160.57
2921,153.93,181.3,161.09
3041,154.35,182.15,161.66
3221,154.75,182.85,162.18
3341,155.17,183.55,162.69
3461,155.62,184.3,163.25
3641,156.05,184.99,163.77
3761,156.52,185.74,164.33
3941,156.97,186.44,164.85
4061,157.42,187.11,165.38
4181,157.91,187.77,165.93
4361,158.37,188.39,166.45
4481,158.87,189.05,167.01
4661,159.34,189.66,167.53
4781,159.82,190.28,168.05
4901,160.33,190.94,168.61
5081,160.81,191.53,169.13
5201,161.34,192.13,169.69
5381,161.82,192.69,170.21
5501,162.32,193.24,170.72
5621,162.84,193.84,171.28
5801,163.34,194.39,171.79
5921,163.87,194.99,172.35
6101,164.36,195.53,172.84
6221,164.85,196.05,173.33
6341,165.37,196.59,173.86
6521,165.86,197.11,174.35
6641,166.39,197.65,174.88
6821,166.87,198.17,175.38
6941,167.36,198.68,175.87
7061,167.89,199.22,176.4
7241,168.38,199.65,176.89
7361,168.9,197.69,177.19
7541,169.39,195.88,177.34
7661,169.88,194.12,177.43
7781,170.4,192.22,177.45
7961,170.88,190.45,177.42
8081,171.37,188.55,177.35
8261,171.82,186.77,177.23
8381,172.23,184.99,177.09
8501,172.65,183.34,176.91
8681,173.01,181.91,176.74
8801,173.36,180.38,176.54
8981,173.66,178.95,176.33
9101,173.92,177.52,176.1
9221,174.17,175.99,175.84
9401,174.37,174.56,175.57
9521,174.56,173.21,175.27
9701,174.7,172.0,174.99
9821,174.81,170.8,174.7
9941,174.9,169.51,174.38
10121,174.95,168.3,174.06
10241,174.99,167.01,173.7
10421,174.99,165.81,173.36
10541,174.98,164.81,173.01
10661,174.94,163.81,172.65
10841,174.87,162.87,172.3
10961,174.79,161.86,171.93
11141,174.68,160.92,171.57
11261,174.56,159.98,171.2
11381,174.41,158.98,170.8
11561,174.26,158.27,170.43
11681,174.08,157.55,170.04
11861,173.89,156.88,169.69
11981,173.69,156.21,169.33
12101,173.46,155.49,168.94
12281,173.24,154.81,168.57
12401,172.98,154.1,168.17
12581,172.74,153.61,167.81
12701,172.48,153.14,167.46
12821,172.2,152.63,167.09
13001,171.93,152.22,166.74
13121,171.63,151.85,166.38
13301,171.34,151.52,166.05
13421,171.05,151.18,165.73
13541,170.73,150.95,165.39
13721,170.43,150.74,165.09
13841,170.11,150.52,164.77
14021,169.8,150.38,164.48
14141,169.5,150.3,164.21
14261,169.17,150.22,163.92
14400,168.87,150.17,163.67
