Time (s),T_outer (C),T_inner (C),T_ave (C)
170,200.0,201.64,200.22
320,200.0,203.12,200.5
470,200.0,204.6,200.82
620,200.01,206.08,201.18
720,200.02,207.07,201.44
870,200.04,208.55,201.85
1020,200.07,210.04,202.28
1170,200.12,211.52,202.74
1320,200.18,213.01,203.21
1470,200.27,214.5,203.71
1620,200.38,215.98,204.23
1770,200.5,217.47,204.77
1920,200.65,217.81,205.17
2020,200.77,217.82,205.39
2170,200.95,217.83,205.68
2320,201.16,217.84,205.94
2470,201.38,217.84,206.19
2620,201.62,217.85,206.42
2770,201.87,217.85,206.64
2920,202.12,217.86,206.86
3070,202.38,217.86,207.07
3170,202.55,217.86,207.2
3320,202.81,217.86,207.4
3470,203.07,217.87,207.6
3620,203.33,217.87,207.79
3770,203.59,217.87,207.97
3920,203.84,217.87,208.15
4070,204.09,217.88,208.33
4220,204.34,217.88,208.51
4320,204.5,217.88,208.62
4470,204.74,217.88,208.79
4620,204.98,217.89,208.96
4770,205.21,217.89,209.12
4920,205.44,217.89,209.28
5070,205.66,217.89,209.43
5220,205.88,217.89,209.59
5370,206.1,217.9,209.74
5520,206.32,217.9,209.89
5620,206.46,217.9,209.98
5770,206.66,217.9,210.13
5920,206.87,217.9,210.27
6070,207.07,217.9,210.41
6220,207.26,217.91,210.54
6370,207.46,217.91,210.68
6520,207.65,217.91,210.81
6670,207.83,217.91,210.94
6770,207.95,217.91,211.02
6920,208.13,217.91,211.15
7070,208.31,217.91,211.27
7220,208.49,217.73,211.37
7370,208.66,216.28,211.29
7520,208.82,214.8,211.12
7670,208.99,213.33,210.91
7820,209.14,211.85,210.67
7920,209.24,210.86,210.48
8070,209.38,209.37,210.19
8220,209.5,207.89,209.86
8370,209.6,206.41,209.51
8520,209.68,204.92,209.14
8670,209.74,203.44,208.74
8820,209.78,201.95,208.32
8970,209.79,200.47,207.88
9120,209.78,200.13,207.57
9220,209.76,200.12,207.42
9370,209.71,200.11,207.22
9520,209.64,200.1,207.05
9670,209.54,200.1,206.9
9820,209.43,200.09,206.75
9970,209.31,200.09,206.61
10120,209.18,200.09,206.48
10270,209.04,200.08,206.36
10370,208.95,200.08,206.28
10520,208.8,200.08,206.16
10670,208.66,200.08,206.04
10820,208.51,200.08,205.93
10970,208.37,200.08,205.82
11120,208.22,200.07,205.72
11270,208.08,200.07,205.61
11420,207.94,200.07,205.51
11520,207.84,200.07,205.45
11670,207.7,200.07,205.35
11820,207.57,200.07,205.25
11970,207.43,200.07,205.16
12120,207.3,200.07,205.06
12270,207.17,200.06,204.97
12420,207.04,200.06,204.88
12570,206.91,200.06,204.8
12720,206.79,200.06,204.71
12820,206.71,200.06,204.65
12970,206.59,200.06,204.57
13120,206.47,200.06,204.49
13270,206.35,200.06,204.41
13420,206.24,200.06,204.33
13570,206.13,200.05,204.25
13720,206.02,200.05,204.17
13870,205.91,200.05,204.1
13970,205.84,200.05,204.05
14120,205.73,200.05,203.98
14270,205.63,200.05,203.91
14400,205.54,200.05,203.84
