Time (s),T_outer (C),T_inner (C),T_ave (C)
170,480.0,481.82,480.24
320,480.0,483.47,480.54
470,480.0,485.11,480.88
620,480.0,486.76,481.27
720,480.01,487.86,481.54
870,480.02,489.51,481.98
1020,480.04,491.16,482.44
1170,480.06,492.81,482.93
1320,480.11,494.46,483.44
1470,480.16,496.12,483.96
1620,480.24,497.77,484.51
1770,480.33,499.42,485.08
1920,480.43,499.8,485.51
2020,480.52,499.81,485.74
2170,480.66,499.82,486.04
2320,480.82,499.83,486.32
2470,480.99,499.83,486.57
2620,481.18,499.84,486.82
2770,481.39,499.84,487.05
2920,481.6,499.85,487.27
3070,481.82,499.85,487.49
3170,481.97,499.85,487.63
3320,482.2,499.86,487.83
3470,482.44,499.86,488.03
3620,482.67,499.86,488.23
3770,482.91,499.86,488.42
3920,483.14,499.87,488.61
4070,483.38,499.87,488.79
4220,483.61,499.87,488.97
4320,483.77,499.87,489.09
4470,484.0,499.87,489.27
4620,484.23,499.88,489.44
4770,484.45,499.88,489.61
4920,484.67,499.88,489.77
5070,484.89,499.88,489.94
5220,485.11,499.88,490.1
5370,485.33,499.89,490.26
5520,485.54,499.89,490.41
5620,485.68,499.89,490.51
5770,485.88,499.89,490.66
5920,486.09,499.89,490.81
6070,486.29,499.89,490.96
6220,486.49,499.89,491.1
6370,486.68,499.9,491.25
6520,486.88,499.9,491.39
6670,487.07,499.9,491.52
6770,487.19,499.9,491.61
6920,487.38,499.9,491.75
7070,487.56,499.9,491.88
7220,487.74,499.7,491.99
7370,487.92,498.08,491.89
7520,488.1,496.44,491.72
7670,488.27,494.8,491.5
7820,488.43,493.15,491.24
7920,488.54,492.05,491.04
8070,488.7,490.41,490.72
8220,488.84,488.76,490.38
8370,488.98,487.11,490.01
8520,489.09,485.46,489.61
8670,489.19,483.81,489.19
8820,489.28,482.15,488.75
8970,489.34,480.5,488.29
9120,489.38,480.13,487.97
9220,489.4,480.11,487.81
9370,489.4,480.1,487.61
9520,489.39,480.1,487.44
9670,489.35,480.09,487.28
9820,489.3,480.09,487.14
9970,489.24,480.08,487.0
10120,489.16,480.08,486.87
10270,489.07,480.08,486.75
10370,489.01,480.08,486.67
10520,488.91,480.08,486.56
10670,488.8,480.07,486.45
10820,488.7,480.07,486.34
10970,488.59,480.07,486.23
11120,488.47,480.07,486.13
11270,488.36,480.07,486.03
11420,488.25,480.07,485.93
11520,488.17,480.07,485.87
11670,488.06,480.06,485.77
11820,487.95,480.06,485.68
11970,487.83,480.06,485.59
12120,487.72,480.06,485.5
12270,487.61,480.06,485.41
12420,487.5,480.06,485.33
12570,487.4,480.06,485.24
12720,487.29,480.06,485.16
12820,487.22,480.06,485.1
12970,487.12,480.06,485.02
13120,487.01,480.06,484.94
13270,486.91,480.06,484.86
13420,486.81,480.05,484.78
13570,486.71,480.05,484.71
13720,486.62,480.05,484.63
13870,486.52,480.05,484.56
13970,486.46,480.05,484.51
14120,486.36,480.05,484.44
14270,486.27,480.05,484.37
14400,486.19,480.05,484.31
