Time (s),T_outer (C),T_inner (C),T_ave (C)
153.79,101.42,116.52,102.87
293.79,101.42,123.62,104.49
433.79,101.43,127.85,105.75
583.79,101.48,135.64,107.47
723.79,101.59,146.76,109.61
873.79,101.79,153.96,111.97
1013.8,102.08,155.7,113.54
1153.8,102.47,163.67,115.56
1303.8,103.02,176.01,118.32
1443.8,103.64,187.46,121.39
1593.8,104.42,195.16,124.35
1733.8,105.27,202.19,127.09
1873.8,106.24,210.49,129.97
2023.8,107.43,220.39,133.36
2163.8,108.66,227.92,136.51
2313.8,110.12,236.7,139.95
2453.8,111.6,243.23,143.09
2593.8,113.19,246.56,145.91
2743.8,115.02,258.15,149.5
2883.8,116.84,266.7,153.08
3033.8,118.9,273.64,156.75
3173.8,120.92,279.93,160.17
3313.8,122.99,285.02,163.35
3463.8,125.32,294.18,166.97
3603.8,127.57,308.06,171.16
3753.8,130.07,312.3,175.14
3893.8,132.48,320.21,178.88
4033.8,134.95,330.12,182.9
4183.8,137.65,339.68,187.24
4323.8,140.26,342.68,190.94
4473.8,143.14,347.85,194.73
4613.8,145.91,356.06,198.63
4753.8,148.76,367.52,202.98
4903.8,151.81,376.78,207.53
5043.8,154.71,385.18,211.73
5193.8,157.89,397.34,216.66
5333.8,160.92,404.56,221.15
5473.8,164.03,411.62,225.56
5623.8,167.37,418.51,230.12
5763.8,170.54,420.17,233.89
5913.8,174.01,426.88,238.08
6053.8,177.32,434.76,242.29
6193.8,180.69,442.63,246.62
6343.8,184.36,457.3,251.87
6483.8,187.72,468.53,256.89
6633.8,191.35,477.43,262.09
6773.8,194.8,482.88,266.67
6913.8,198.3,486.24,271
7063.8,202.13,493.69,275.67
7203.8,205.74,505.94,280.72
7353.8,209.59,484.42,283.51
7493.8,213.24,472.26,285.2
7633.8,216.94,465.68,287.03
7783.8,220.94,462.47,289.19
7923.8,224.63,453.06,290.73
8073.8,228.51,444.76,292
8213.8,232.08,439.81,293.32
8353.8,235.58,433.01,294.41
8503.8,239.23,424.03,295.28
8643.8,242.54,415.72,295.83
8793.8,245.88,408.97,296.44
8933.8,248.89,397.17,296.51
9073.8,251.79,389.51,296.45
9223.8,254.76,385.67,296.82
9363.8,257.41,380.11,297.06
9513.8,260.1,371.74,297.04
9653.8,262.43,360.91,296.64
9793.8,264.64,346.25,295.56
9943.8,266.87,340.04,294.73
10084,268.83,333.4,294.05
10234,270.79,325.8,293.18
10374,272.45,320.91,292.5
10514,273.99,313.19,291.62
10664,275.5,305.19,290.48
10804,276.76,299.08,289.46
10954,277.98,286.88,287.84
11094,278.99,276.92,286.08
11234,279.88,267.84,284.25
11384,280.69,258.42,282.2
11524,281.33,255.83,280.69
11674,281.87,248.47,279.06
11814,282.25,236.32,276.78
11954,282.49,230.17,274.67
12104,282.62,223.52,272.49
12244,282.62,215.99,270.36
12394,282.49,204.66,267.63
12534,282.24,200.19,265.36
12674,281.88,193.58,263.11
12824,281.37,183.6,260.23
12964,280.77,172.92,257.22
13114,280.01,168.26,254.32
13254,279.18,161.89,251.81
13394,278.25,148.13,248.42
13544,277.12,141.2,244.92
13684,275.95,133.9,241.75
13834,274.57,125.78,238.24
13974,273.17,120.66,235.16
14114,271.66,110.39,231.73
14264,269.92,102.77,227.83
14400,268.21,102.19,224.98
