Time (s),T_outer (C),T_inner (C),T_ave (C)
170,50.0,54.556,50.625
320,50.002,58.658,51.411
470,50.012,62.77,52.326
620,50.041,66.887,53.343
720,50.078,69.634,54.068
870,50.167,73.757,55.221
1020,50.307,77.883,56.444
1170,50.506,82.01,57.733
1320,50.769,86.138,59.083
1470,51.1,90.268,60.492
1620,51.501,94.398,61.957
1770,51.974,98.53,63.476
1920,52.519,99.468,64.636
2020,52.923,99.496,65.246
2170,53.584,99.524,66.068
2320,54.305,99.545,66.82
2470,55.072,99.561,67.525
2620,55.873,99.575,68.194
2770,56.694,99.588,68.835
2920,57.526,99.599,69.453
3070,58.361,99.609,70.051
3170,58.917,99.615,70.44
3320,59.745,99.624,71.011
3470,60.565,99.633,71.568
3620,61.375,99.641,72.112
3770,62.171,99.649,72.643
3920,62.955,99.656,73.164
4070,63.724,99.664,73.673
4220,64.479,99.671,74.172
4320,64.974,99.676,74.499
4470,65.705,99.683,74.981
4620,66.421,99.689,75.454
4770,67.122,99.696,75.918
4920,67.809,99.702,76.373
5070,68.483,99.708,76.819
5220,69.142,99.715,77.257
5370,69.787,99.721,77.686
5520,70.419,99.726,78.107
5620,70.834,99.73,78.383
5770,71.444,99.736,78.791
5920,72.042,99.741,79.191
6070,72.627,99.747,79.584
6220,73.2,99.752,79.969
6370,73.76,99.757,80.347
6520,74.31,99.762,80.718
6670,74.847,99.767,81.081
6770,75.2,99.771,81.32
6920,75.719,99.775,81.673
7070,76.227,99.78,82.018
7220,76.724,99.266,82.301
7370,77.212,95.234,82.058
7520,77.686,91.138,81.601
7670,78.143,87.032,81.007
7820,78.57,82.92,80.306
7920,78.833,80.176,79.787
8070,79.185,76.058,78.939
8220,79.476,71.938,78.015
8370,79.701,67.816,77.019
8520,79.852,63.692,75.956
8670,79.926,59.567,74.83
8820,79.922,55.441,73.642
8970,79.838,51.313,72.395
9120,79.674,50.375,71.501
9220,79.52,50.349,71.066
9370,79.227,50.323,70.502
9520,78.866,50.305,70.003
9670,78.451,50.292,69.547
9820,77.995,50.281,69.122
9970,77.512,50.271,68.721
10120,77.011,50.263,68.337
10270,76.499,50.256,67.969
10370,76.156,50.252,67.731
10520,75.639,50.245,67.383
10670,75.125,50.239,67.045
10820,74.616,50.234,66.716
10970,74.112,50.229,66.396
11120,73.616,50.224,66.082
11270,73.128,50.219,65.776
11420,72.648,50.214,65.476
11520,72.333,50.211,65.28
11670,71.868,50.206,64.99
11820,71.412,50.202,64.706
11970,70.965,50.198,64.428
12120,70.528,50.194,64.155
12270,70.099,50.19,63.888
12420,69.678,50.186,63.626
12570,69.267,50.182,63.368
12720,68.864,50.178,63.116
12820,68.6,50.175,62.95
12970,68.211,50.172,62.706
13120,67.83,50.168,62.466
13270,67.456,50.165,62.231
13420,67.091,50.161,62.0
13570,66.733,50.158,61.774
13720,66.383,50.154,61.552
13870,66.04,50.151,61.334
13970,65.816,50.149,61.191
14120,65.485,50.146,60.98
14270,65.161,50.143,60.773
14400,64.885,50.14,60.596
