Time (s),T_outer (C),T_inner (C),T_ave (C)
153.94,250,254.6,250.4
293.94,250,256.9,250.85
433.94,250,258.43,251.25
583.94,250.01,259.78,251.65
723.94,250.02,261.04,252.02
873.94,250.05,262,252.41
1013.9,250.09,262.9,252.75
1153.9,250.16,263.8,253.1
1303.9,250.25,264.76,253.48
1443.9,250.35,265.64,253.84
1593.9,250.47,266.39,254.21
1733.9,250.61,267.07,254.55
1873.9,250.76,267.76,254.89
2023.9,250.94,268.5,255.26
2163.9,251.11,269.18,255.6
2313.9,251.32,269.81,255.97
2453.9,251.52,270.39,256.3
2593.9,251.73,270.97,256.64
2743.9,251.97,271.59,257.01
2883.9,252.2,272.17,257.35
3033.9,252.45,272.72,257.72
3173.9,252.7,273.23,258.06
3313.9,252.95,273.74,258.4
3463.9,253.22,274.29,258.76
3603.9,253.49,274.8,259.11
3753.9,253.78,275.3,259.47
3893.9,254.05,275.76,259.81
4033.9,254.33,276.23,260.16
4183.9,254.64,276.72,260.52
4323.9,254.92,277.19,260.87
4473.9,255.24,277.64,261.23
4613.9,255.53,278.07,261.58
4753.9,255.83,278.49,261.92
4903.9,256.16,278.95,262.28
5043.9,256.46,279.37,262.63
5193.9,256.79,279.8,262.99
5333.9,257.1,280.19,263.34
5473.9,257.41,280.59,263.68
5623.9,257.75,281.01,264.04
5763.9,258.07,281.41,264.39
5913.9,258.41,281.81,264.75
6053.9,258.73,282.18,265.09
6193.9,259.05,282.56,265.43
6343.9,259.4,282.96,265.8
6483.9,259.72,283.33,266.14
6633.9,260.07,283.71,266.5
6773.9,260.4,284.06,266.84
6913.9,260.72,284.42,267.18
7063.9,261.07,284.79,267.54
7203.9,261.4,285.15,267.88
7353.9,261.76,285.51,268.24
7493.9,262.09,285.84,268.58
7633.9,262.42,286.18,268.91
7783.9,262.78,286.53,269.27
7923.9,263.11,286.87,269.61
8073.9,263.47,287.21,269.96
8213.9,263.8,287.53,270.3
8353.9,264.13,287.86,270.63
8503.9,264.49,288.2,270.98
8643.9,264.82,288.52,271.32
8793.9,265.18,288.85,271.67
8933.9,265.51,289.16,272
9073.9,265.85,289.46,272.33
9223.9,266.2,289.79,272.68
9363.9,266.54,290.1,273.01
9513.9,266.89,290.42,273.35
9653.9,267.23,290.71,273.68
9793.9,267.56,291.01,274
9943.9,267.92,291.33,274.35
10084,268.25,291.62,274.67
10234,268.6,291.93,275.02
10374,268.94,292.22,275.34
10514,269.27,292.5,275.66
10664,269.62,292.81,276
10804,269.95,293.1,276.32
10954,270.3,293.39,276.66
11094,270.63,293.67,276.97
11234,270.96,293.95,277.29
11384,271.31,294.24,277.62
11524,271.64,294.52,277.94
11674,271.99,294.81,278.27
11814,272.31,295.08,278.58
11954,272.63,295.35,278.88
12104,272.97,295.64,279.2
12244,273.28,295.91,279.5
12394,273.62,296.18,279.82
12534,273.93,296.44,280.11
12674,274.24,296.7,280.41
12824,274.57,296.98,280.72
12964,274.88,297.24,281.02
13114,275.21,297.51,281.33
13254,275.52,297.76,281.63
13394,275.83,298.02,281.92
13544,276.15,298.29,282.23
13684,276.46,298.54,282.52
13834,276.78,298.81,282.83
13974,277.09,299.05,283.12
14114,277.39,299.3,283.41
14264,277.71,299.57,283.71
14400,278.01,299.81,283.99
