Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,105.4,105.89,105.45
293.97,105.4,106.35,105.52
433.97,105.4,106.85,105.61
583.97,105.4,107.43,105.73
723.97,105.41,107.97,105.85
873.97,105.42,108.79,106.02
1014,105.43,109.56,106.2
1154,105.45,110.27,106.4
1304,105.48,110.97,106.61
1444,105.52,111.63,106.82
1594,105.57,112.66,107.09
1734,105.63,113.62,107.36
1874,105.71,114.68,107.66
2024,105.8,115.92,108.02
2164,105.89,117.08,108.39
2314,106.01,118.51,108.81
2454,106.14,119.86,109.24
2594,106.28,121.37,109.71
2744,106.45,123.14,110.26
2884,106.63,124.8,110.81
3034,106.84,126.86,111.46
3174,107.07,128.78,112.1
3314,107.31,130.87,112.79
3464,107.6,133.26,113.59
3604,107.89,135.51,114.38
3754,108.24,138.51,115.33
3894,108.59,141.32,116.28
4034,108.98,144.13,117.28
4184,109.42,147.14,118.4
4324,109.88,149.98,119.48
4474,110.4,153.89,120.73
4614,110.93,157.55,121.99
4754,111.49,161.21,123.32
4904,112.14,165.13,124.81
5044,112.79,168.82,126.25
5194,113.53,173.67,127.94
5334,114.28,178.22,129.61
5474,115.07,182.77,131.36
5624,115.98,187.64,133.3
5764,116.88,192.21,135.18
5914,117.91,197.87,137.28
6054,118.91,203.15,139.32
6194,119.98,208.44,141.44
6344,121.18,214.1,143.79
6484,122.37,219.4,146.06
6634,123.71,225.51,148.6
6774,125.02,231.22,151.06
6914,126.41,236.93,153.59
7064,127.95,243.08,156.31
7204,129.44,248.79,158.88
7354,131.11,254.92,161.71
7494,132.73,260.63,164.42
7634,134.42,266.35,167.2
7784,136.3,272.48,170.23
7924,138.12,278.19,173.12
8074,140.14,283.87,176.23
8214,142.06,289.21,179.05
8354,144.02,294.51,181.91
8504,146.19,300.18,185.03
8644,148.28,305.46,187.99
8794,150.56,310.38,191.13
8934,152.75,314.95,194.08
9074,155,319.52,197.03
9224,157.45,324.42,200.23
9364,159.8,328.97,203.23
9514,162.29,333.23,206.28
9654,164.63,337.15,209.11
9794,167.01,340.83,211.94
9944,169.6,344.53,214.95
10084,172.04,347.98,217.75
10234,174.69,351.03,220.7
10374,177.19,353.88,223.42
10514,179.72,356.72,226.14
10664,182.44,359.76,229.03
10804,185.01,362.58,231.73
10954,187.77,365.06,234.57
11094,190.37,367.36,237.19
11234,192.97,369.47,239.79
11384,195.77,371.52,242.51
11524,198.39,373.43,245.03
11674,201.09,375.29,247.6
11814,203.54,376.98,249.9
11954,205.99,378.5,252.18
12104,208.61,379.97,254.59
12244,211.06,381.34,256.8
12394,213.67,382.61,259.14
12534,216.1,383.79,261.29
12674,218.52,384.87,263.42
12824,221.1,385.93,265.65
12964,223.49,386.91,267.72
13114,226.05,387.77,269.88
13254,228.41,388.56,271.88
13394,230.76,389.29,273.84
13544,233.27,390.02,275.91
13684,235.58,390.69,277.82
13834,238.04,391.3,279.82
13974,240.32,391.86,281.66
14114,242.58,392.38,283.48
14264,244.96,392.91,285.39
14400,247,393.39,287.06
