Time (s),T_outer (C),T_inner (C),T_ave (C)
153.9,200,208.22,200.74
293.9,200,215.88,201.84
433.9,200,223.55,203.19
583.9,200.01,231.79,204.86
723.9,200.05,239.48,206.59
873.9,200.14,247.74,208.58
1013.9,200.28,255.44,210.55
1153.9,200.49,263.14,212.65
1303.9,200.8,271.4,215.03
1443.9,201.19,279.11,217.36
1593.9,201.71,287.37,219.97
1733.9,202.3,295.11,222.43
1873.9,202.98,302.82,224.99
2023.9,203.83,311.09,227.84
2163.9,204.72,318.8,230.6
2313.9,205.79,327.07,233.64
2453.9,206.89,334.83,236.56
2593.9,208.08,342.55,239.47
2743.9,209.47,350.82,242.69
2883.9,210.85,358.54,245.79
3033.9,212.44,366.81,249.2
3173.9,214.02,374.54,252.46
3313.9,215.68,382.31,255.73
3463.9,217.55,390.58,259.26
3603.9,219.38,398.13,262.64
3753.9,221.43,398.35,265.68
3893.9,223.43,398.42,268.19
4033.9,225.5,398.47,270.53
4183.9,227.81,398.52,272.9
4323.9,230.03,398.55,275.02
4473.9,232.46,398.59,277.21
4613.9,234.76,398.62,279.18
4753.9,237.08,398.64,281.1
4903.9,239.57,398.67,283.11
5043.9,241.89,398.69,284.93
5193.9,244.37,398.72,286.85
5333.9,246.67,398.74,288.6
5473.9,248.95,398.76,290.31
5623.9,251.36,398.78,292.12
5763.9,253.59,398.8,293.77
5913.9,255.93,398.85,295.5
6053.9,257.99,398.87,297.04
6193.9,260.03,398.89,298.55
6343.9,262.18,398.91,300.13
6483.9,264.16,398.92,301.59
6633.9,266.25,398.94,303.12
6773.9,268.18,398.95,304.53
6913.9,270.08,398.97,305.91
7063.9,272.09,398.99,307.37
7203.9,273.93,399,308.71
7353.9,275.88,399.02,310.13
7493.9,277.68,399.03,311.43
7633.9,279.45,399.04,312.72
7783.9,281.31,399.06,314.07
7923.9,283.03,399.07,315.31
8073.9,284.84,399.09,316.63
8213.9,286.51,399.1,317.83
8353.9,288.15,399.11,319.02
8503.9,289.88,399.13,320.28
8643.9,291.48,399.14,321.43
8793.9,293.16,399.15,322.65
8933.9,294.7,399.17,323.77
9073.9,296.23,399.18,324.87
9223.9,297.84,399.19,326.04
9363.9,299.31,399.2,327.11
9513.9,300.87,399.22,328.24
9653.9,302.23,399.23,329.27
9793.9,303.57,399.25,330.27
9943.9,304.99,399.26,331.33
10084,306.3,399.27,332.3
10234,307.69,399.28,333.32
10374,308.96,399.29,334.25
10514,310.22,399.3,335.17
10664,311.56,399.31,336.15
10804,312.79,399.32,337.04
10954,314.09,399.33,337.99
11094,315.28,399.34,338.85
11234,316.46,399.35,339.71
11384,317.71,399.36,340.61
11524,318.86,399.37,341.44
11674,320.07,399.38,342.32
11814,321.18,399.39,343.12
11954,322.28,399.4,343.92
12104,323.44,399.41,344.76
12244,324.51,399.41,345.53
12394,325.64,399.42,346.34
12534,326.68,399.43,347.09
12674,327.7,399.44,347.83
12824,328.78,399.45,348.61
12964,329.78,399.45,349.33
13114,330.83,399.46,350.09
13254,331.79,399.47,350.78
13394,332.74,399.48,351.47
13544,333.75,399.49,352.2
13684,334.67,399.49,352.86
13834,335.65,399.5,353.57
13974,336.55,399.51,354.22
14114,337.44,399.51,354.86
14264,338.37,399.52,355.53
14400,339.21,399.53,356.13
