Time (s),T_outer (C),T_inner (C),T_ave (C)
161,300.08,301,300.91
311.72,300.94,302.55,301.08
491.72,301,307.75,301.77
611.72,301,308,302.02
721.23,301,307.21,302.12
889.8,301.01,311.67,302.73
1009.8,301.03,310.87,302.93
1189.8,301.07,315.25,303.66
1309.8,301.1,315,303.93
1489.8,301.18,320.14,304.85
1609.8,301.25,320.91,305.29
1729.8,301.34,324.78,305.99
1909.8,301.49,324.95,306.66
2029.8,301.61,325.92,307.11
2209.8,301.83,330.62,308.12
2329.8,301.99,332.95,308.83
2449.8,302.18,332.12,309.27
2629.8,302.48,335.57,310.21
2749.8,302.71,337.65,310.9
2929.8,303.09,337.85,311.66
3049.8,303.36,339.23,312.22
3169.8,303.65,343.07,313.04
3349.8,304.11,341.59,313.69
3469.8,304.44,346.06,314.53
3649.8,304.96,348.31,315.64
3769.8,305.32,348.42,316.19
3889.8,305.69,352.27,317.05
4069.8,306.28,351.47,317.89
4189.8,306.68,352.16,318.46
4369.8,307.32,354.85,319.45
4489.8,307.76,358.27,320.36
4609.8,308.21,356.67,320.88
4789.8,308.9,361.1,322.07
4909.8,309.38,366.24,323.2
5089.8,310.11,368.29,324.58
5209.8,310.62,368.67,325.36
5329.8,311.14,367.79,325.97
5509.8,311.94,370.3,327.08
5629.8,312.49,375.15,328.2
5809.8,313.35,374.53,329.32
5929.8,313.94,376.08,330.12
6049.8,314.53,380.75,331.25
6229.8,315.45,380.47,332.44
6349.8,316.08,382.88,333.38
6529.8,317.05,385.01,334.8
6649.8,317.7,383.52,335.4
6769.8,318.37,388.91,336.54
6949.8,319.38,387.47,337.56
7069.8,320.06,391.57,338.61
7249.8,321.1,391.91,339.81
7369.8,321.8,395.22,340.84
7489.8,322.51,399.14,342.02
7669.8,323.59,398.58,343.33
7789.8,324.32,397.57,344.01
7969.8,325.43,403.03,345.64
8089.8,326.18,404.1,346.59
8209.8,326.94,406.37,347.64
8389.8,328.09,406.07,348.85
8509.8,328.87,411.18,350.1
8689.8,330.06,411.91,351.62
8809.8,330.86,411.23,352.39
8929.8,331.67,417.45,353.73
9109.8,332.9,417.71,355.21
9229.8,333.73,421.11,356.42
9409.8,335,420.13,357.76
9529.8,335.85,421.2,358.68
9649.8,336.72,426.68,360.03
9829.8,338.03,427.11,361.61
9949.8,338.91,426.03,362.43
10130,340.26,429.94,364.11
10250,341.16,429.38,364.99
10370,342.07,430.09,365.91
10550,343.45,434.57,367.6
10670,344.35,439.46,368.99
10850,345.71,439.5,370.53
10970,346.61,441.16,371.64
11090,347.53,440.3,372.52
11270,348.91,443.06,374.04
11390,349.84,448.82,375.5
11570,351.24,449.02,377.17
11690,352.18,447.79,378.03
11810,353.13,448.54,378.97
11990,354.57,455.38,381
12110,355.54,455.97,382.13
12290,357,457.23,383.7
12410,357.98,460.95,385.05
12530,358.97,457.81,385.87
12710,360.46,464.1,387.81
12830,361.47,466.12,389.08
13010,362.99,467.08,390.72
13130,364.01,470.16,392.05
13250,365.03,466.99,392.88
13430,366.58,472.57,394.77
13550,367.63,475.21,396.09
13730,369.2,475.62,397.7
13850,370.24,479.85,399.14
13970,371.27,479.03,400.22
14150,372.81,480.1,401.82
14270,373.85,483.41,403.14
14400,374.99,481.62,404.18
